Vector1,Vector2,Color,Meaning
45.74907,-8.620798,red,吭:出声
-17.49973,-14.320198,red,吮:用口含吸
-13.233726,40.15754,red,启:开
40.36564,-41.51079,red,吰:〔噌吰〕见“噌”
46.76742,-36.847202,red,吱:象声词
46.76742,-36.847202,red,吱:象声词
-41.12582,18.122969,red,吱:走路喘息貌
7.4119887,-39.60976,red,吲:〔吲哚〕有机化合物indole的音译
47.906433,-4.01378,red,吴:大声说话
-10.519416,-28.583601,red,吴:《俗字背篇》吐根切
-14.252041,-32.66533,red,吵:《集韻》弭沼切），上小明
45.768036,2.7201247,red,吵:喧哗，吵闹
62.10689,-1.2941737,red,吵:古人名用字
-18.028595,-37.09015,red,吵:吶@@@LINK=呐\n
-2.7967162,-6.6284676,red,吷:以口吹物发出的小声
-4.9077783,-61.910732,red,吷:鸟叫声
30.46329,-17.796953,red,吸:吸气入内
13.591382,-29.599878,red,吹:撮起嘴唇急促地吐出气流
22.794699,-13.164106,red,吹:吹奏乐曲的活动；也指乐曲
-33.792435,2.7348626,red,吺:〔讘吺〕也作“吺哆”
-12.61824,-19.56611,red,吺:〔囁吺〕即“囁嚅”
15.573418,-29.619293,red,吻:嘴唇
10.706759,25.713997,red,吼:人因愤怒或情绪激动而大声呼喊
-14.410763,-17.233389,red,吽:〔吽牙〕也作“吽呀”
3.1232982,-27.650045,red,吽:佛教“六字真言”之一
65.90402,22.94975,red,吾:代词
-30.163967,-16.60313,red,吾:〔吾吾〕疏远貌
22.68444,-39.482407,red,吾:〔允吾〕古县名
31.297493,2.1997743,red,呀:张口貌
60.79444,-11.688972,red,呀:嗟叹
73.82377,35.42267,red,呀:助词
14.7593155,-55.469425,red,呁:吐
48.523163,-13.754916,red,呃:不平声
-17.201359,-49.096245,red,呃:鸡声
73.82377,35.42267,red,呃:助词
-15.608137,-49.22142,red,呄:《川篇》古得切
-16.302868,-49.12772,red,呅:哸呅
-55.56305,-6.54967,red,呆:痴；傻
-30.751987,-27.731482,red,呈:平
35.235065,22.52981,red,呈:炫耀
18.836079,11.755336,red,告:上报
6.0747013,-11.475237,red,告:〔告朔〕*周*制，每年秋冬之交，天子把来年的历书颁给诸侯
4.090464,-23.377762,red,呎:“英尺”的旧称
-0.27159658,-20.811684,red,呏:*英*、*美*容量单位加仑（gallon）的旧译名
50.29711,-4.1620717,red,呐:大声呼喊
54.27939,19.532059,red,呐:语气词
10.204451,8.23232,red,呐:〔嗗呐〕声不出
80.58358,23.046513,red,呔:叹词
-12.009704,83.904495,red,呔:方言
48.744385,-4.4713397,red,呟:大声
