Vector1,Vector2,Color,Meaning,Character
10.735374,-16.504854,red,〔吩咐〕嘱告；指派,吩
13.980542,-11.186144,red,行动,吪
-16.488987,7.8299093,red,口开,吪
0.5205189,-1.2043438,red,东西放在口里，不咽下也不吐出,含
-5.9699755,5.340696,red,古代放在死者口里的珠、玉等物品,含
7.09793,-42.479603,red,笑貌,听
18.909628,10.74132,red,〔听嗞〕口开貌,听
18.569376,9.963651,red,〔听嗞〕也作“𠲻嗞”,听
7.67316,13.351253,red,鸟的喉咙,吭
30.844172,31.224062,red,嗓音,吭
36.62232,14.261356,red,出声,吭
-14.931228,7.699232,red,用口含吸,吮
13.471968,17.739151,red,开,启
17.485247,46.58187,red,〔噌吰〕见“噌”,吰
24.745096,46.134083,red,象声词,吱
26.508186,48.170948,red,象声词,吱
-8.7723875,-35.04326,red,走路喘息貌,吱
-38.60832,8.55156,red,〔吲哚〕有机化合物indole的音译,吲
42.864643,7.3797793,red,大声说话,吴
-26.270317,24.751926,red,《俗字背篇》吐根切,吴
-31.37046,23.306082,red,《集韻》弭沼切），上小明,吵
48.14912,4.245603,red,喧哗，吵闹,吵
-16.550762,39.213303,red,古人名用字,吵
-22.912003,24.257885,red,吶@@@LINK=呐\n,吵
3.5590389,0.21935463,red,以口吹物发出的小声,吷
31.467262,36.599094,red,鸟叫声,吷
15.954109,13.267946,red,吸气入内,吸
0.47128958,-0.60853213,red,撮起嘴唇急促地吐出气流,吹
9.914168,12.385305,red,吹奏乐曲的活动；也指乐曲,吹
-22.05229,-18.192518,red,〔讘吺〕也作“吺哆”,吺
-20.554585,-11.448571,red,〔囁吺〕即“囁嚅”,吺
-24.240683,30.948223,red,嘴唇,吻
14.654757,-4.8554525,red,人因愤怒或情绪激动而大声呼喊,吼
-19.501001,-11.901271,red,〔吽牙〕也作“吽呀”,吽
-22.708107,35.33866,red,佛教“六字真言”之一,吽
16.839663,59.72504,red,代词,吾
-23.47948,2.8116374,red,〔吾吾〕疏远貌,吾
-16.307695,31.829248,red,〔允吾〕古县名,吾
3.2587953,26.768738,red,张口貌,呀
50.488434,20.693964,red,嗟叹,呀
35.21208,57.807396,red,助词,呀
-34.841965,34.45862,red,吐,呁
42.5171,19.977146,red,不平声,呃
-37.673214,2.3169262,red,鸡声,呃
35.21208,57.807396,red,助词,呃
-37.655384,1.2394179,red,《川篇》古得切,呄
-39.701523,4.2765837,red,哸呅,呅
-10.179407,-47.443913,red,痴；傻,呆
-41.14001,18.624647,red,平,呈
19.915026,-6.8054557,red,炫耀,呈
12.673002,-0.8526441,red,上报,告
-2.436675,8.546919,red,〔告朔〕*周*制，每年秋冬之交，天子把来年的历书颁给诸侯,告
-8.447217,20.687563,red,“英尺”的旧称,呎
-11.049189,15.853568,red,*英*、*美*容量单位加仑（gallon）的旧译名,呏
43.60659,9.6067915,red,大声呼喊,呐
4.8656874,54.36242,red,语气词,呐
8.5082855,1.1236382,red,〔嗗呐〕声不出,呐
44.467796,57.193943,red,叹词,呔
-65.26074,32.781487,red,方言,呔
44.02333,7.924486,red,大声,呟
18.595406,11.620146,red,喷,呠
31.438707,10.399222,red,〔呢喃〕1.悄声细语,呢
43.358532,25.9111,red,声,呢
-22.708107,35.33866,red,佛教“六字真言”之一,呢
6.353393,52.434753,red,语气词,呢
24.266922,47.36545,red,象声词,呣
44.467796,57.193943,red,叹词,呣
44.467796,57.193943,red,叹词,呣
10.182867,-19.466446,red,〔啨呤〕见“啨（yīng）”,呤
9.743384,-15.331544,red,〔嘌呤〕见“嘌（piào）”,呤
-9.293092,-40.207226,red,咀嚼貌,呥
22.020233,46.89837,red,象声词,呦
2.3712804,36.555553,red,周密；谨严,周
18.038527,7.9940863,red,祷告,呪
10.490259,-45.555252,red,尝；啜,呫
-0.9308013,-21.553444,red,〔呫囁〕1.小语声,呫
8.525847,34.39564,red,喘息；嘘气,呬
-36.100735,-48.44376,red,〔呭呭〕多言,呭
18.558111,42.906982,red,〔呮查〕象声词,呮
27.382275,46.03709,red,象声词,呯
37.862564,-2.4716337,red,诋毁，诽谤,呰
-22.23438,-11.382976,red,此,呰
27.256714,22.475826,red,小儿哭声,呱
26.306707,44.64542,red,象声词,呱
-61.697556,33.55612,red,〔拉呱〕方言,呱
-3.1767597,-6.4472456,red,无食,呲
-65.26074,32.781487,red,方言,呲
38.04809,3.3028529,red,申斥；斥责,呲
9.468792,2.978882,red,舌头尝东西得到的感觉,味
12.741863,7.6747704,red,光泽,味
18.884422,14.381786,red,呼气,呴
19.181978,19.620367,red,喉中喘气声,呴
-12.731242,18.326956,red,〔呴犂湖〕*汉**匈奴*单于名,呴
23.000113,34.37561,red,鸡叫声,呴
43.815193,11.9154005,red,呼喊；吆喝,呵
18.844479,14.349199,red,呼气；哈气,呵
-12.398317,42.114166,red,译音用字,呵
-65.26074,32.781487,red,方言,呵
49.672596,4.415851,red,喧闹,呶
12.840824,-18.32396,red,〔嘮呶〕见“嘮（chāo）”,呶
-11.84836,27.91874,red,〔吸呷〕也作“翕呷”、“喤呷”,呷
24.06181,45.70416,red,象声词,呷
44.467796,57.193943,red,叹词,呸
-18.123127,16.547323,red,牛羊嚼草貌,呹
34.563625,31.454313,red,声响,呹
-21.618708,-9.9243965,red,大而中空貌,呺
12.485676,30.27674,red,吟诵,呻
15.1158905,12.52374,red,吐气，使气从口或鼻中出来,呼
44.467796,57.193943,red,叹词,呼
-19.492968,0.94598085,red,命令,命
-39.155437,5.1349263,red,相呵,呾
-38.730213,0.68913126,red,相呼声,呾
11.212857,-2.3125498,red,〔呾噠〕语不正；多话,呾
-5.6458983,25.851076,red,*元*代称唱曲子叫“呾”,呾
3.2587953,26.768738,red,张口貌,呿
-12.5269575,42.941555,red,译音用字,呿
16.088974,17.216541,red,品尝；玩味,咀
-16.217134,12.214319,red,㕮咀，配药方,咀
16.088974,17.216541,red,品尝；玩味,咀
-12.159265,7.7948217,red,乳,咁
-65.26074,32.781487,red,方言,咁
-12.16191,30.750908,red,吮；吸,咂
-10.92715,43.48498,red,译音用字,咃
44.467796,57.193943,red,叹词,咄
14.420507,-0.57082874,red,表示拒绝的语声,咅
46.81498,11.577552,red,猛兽嗥叫,咆
15.116965,24.551567,red,语,咇
-22.86996,-18.164368,red,〔咇茀〕也作“馝馞”、“苾勃”,咇
12.427646,-7.0142508,red,〔咇㘉〕1.言语细碎,咇
9.217121,-32.0934,red,违逆；乖戾,咈
45.030987,29.41268,red,应答声,咉
1.3967735,-22.020765,red,〔咉咽〕1.悲伤,咉
31.162891,27.569977,red,声音大,咋
20.900558,15.445063,red,〔㕭咋〕犬多声,咋
38.05821,31.970503,red,语声,咋
-65.26074,32.781487,red,方言,咋
-18.713568,-16.588945,red,〔咋呼〕也作“咋唬”,咋
10.039932,10.869456,red,声音相应；和谐地跟着唱或伴奏,和
8.272255,26.247953,red,和谐；协调,和
15.828126,5.527418,red,掺和；混杂,和
0.100518875,0.64550155,red,在粉状物中加水搅拌或揉弄使粘在一起,和
15.736075,5.5565586,red,“掺和”、“搅和”、“暖和”、“热和”、“软和”读此音,和
7.152275,11.327215,red,打麻将用语,和
32.764027,4.006175,red,嗤笑，嘲笑,咍
-60.323235,-31.450802,red,姓,咍
-8.603378,12.382255,red,凶；灾祸,咎
33.082397,15.823454,red,嘘,咐
10.725133,-17.154318,red,〔吩咐〕见“吩”,咐
-10.92715,43.48498,red,译音用字,咓
26.306707,44.64542,red,象声词,咔
-11.625879,41.38969,red,译音用字,咔
23.320984,0.905898,red,〔咕噥〕含混地自言自语，也指低声说私话,咕
31.901329,7.7390776,red,〔嘀咕〕见“嘀”,咕
22.193193,44.153873,red,〔咖咖〕象声词,咖
-11.246651,41.544006,red,译音用字,咖
24.871359,44.493923,red,象声词,咗
-11.870086,43.564003,red,译音用字,咘
24.04767,44.933895,red,象声词,咚
31.686348,12.354827,red,附耳私语,咠
-16.42485,6.6312294,red,口旁；口耳之间,咡
29.500088,6.8971705,red,争辩,咢
-42.519695,-8.135802,red,能说会道,咣
24.202269,46.85534,red,象声词,咣
38.226433,10.438828,red,怒声,咤
-24.245253,19.38169,red,《集韻》虚器切,咥
-19.728779,24.797932,red,咬,咥
-12.5269575,42.941555,red,译音用字,咥
-31.30529,-11.554488,red,止,咥
7.8657193,1.2176465,red,出大气,咦
32.703342,41.874176,red,鸟声,咧
0.8268374,-18.641077,red,〔咧咧〕1.小儿哭,咧
-1.7877625,-3.5135636,red,嘴角向两边伸展,咧
6.353393,52.434753,red,语气词,咧
45.95241,-8.352184,red,商议；询问,咨
22.459211,35.515778,red,羊叫声,咩
21.335207,44.467224,red,〔咪咪〕象声词,咪
-65.26074,32.781487,red,方言,咪
-10.357907,15.544144,red,*法国*长度单位“米突（mètre）”的省称,咪
-10.443306,14.1554165,red,古代长度名，*周*制八寸叫“咫”，合市尺六寸二分二厘，约今20厘米,咫
1.5389925,-0.3813685,red,上下牙相对用力压碎或夹住东西,咬
22.89873,43.244175,red,〔咬咬〕象声词,咬
-18.15635,24.125944,red,〔咬哇〕也作“哇咬”、“䵷咬”,咬
45.321682,22.573158,red,凄切声,咬
7.09793,-42.479603,red,笑貌,咭
-18.862007,21.621904,red,鼠叫,咭
28.43883,48.051155,red,象声词,咭
-1.2768058,26.058449,red,鸟嘴,咮
32.703342,41.874176,red,鸟声,咮
-33.135704,-4.7513757,red,〔讋咮〕多言貌,咮
-12.08948,-9.731517,red,讼言,咯
23.436905,34.795444,red,野鸡叫声,咯
6.353393,52.434753,red,语气词,咯
7.9056373,-38.18705,red,饮,咰
16.839663,59.72504,red,代词,咱
16.839663,59.72504,red,代词,咱
-14.601476,-22.085363,red,怎,咱
-65.26074,32.781487,red,方言,咱
24.817778,18.322906,red,婴儿笑,咳
44.467796,57.193943,red,叹词,咳
9.219791,43.786663,red,咳嗽,咳
25.453753,46.802032,red,〔咴咴〕象声词,咴
25.012712,19.996122,red,小儿笑,咴
-39.480022,-2.2915363,red,言戾,咵
8.744027,34.30407,red,气息，喘息,咶
26.632086,47.32548,red,象声词,咶
-22.636549,-21.390154,red,〔號咷〕也作“嚎啕”、“噭咷”,咷
-21.331167,-17.431116,red,〔噭咷〕也作“叫咷”,咷
-15.93206,-17.569443,red,普遍,咸
-60.323235,-31.450802,red,姓,咸
-18.513136,27.743254,red,吃,咹
38.02596,19.574354,red,声止,咹
44.467796,57.193943,red,叹词,咹
-1.4403665,13.697096,red,我国古代东北地区称小儿哭泣不止叫咺,咺
5.6328344,0.40200356,red,显著,咺
-26.139668,-16.849895,red,〔噢咻〕也作“燠休”、“燠咻”,咻
49.672596,4.415851,red,喧闹,咻
16.614288,8.884407,red,温暖；温和,咻
-2.5805175,-2.8290517,red,歪斜,咼
-7.111486,23.499508,red,古国名,咼
-60.323235,-31.450802,red,姓,咼
0.6593769,2.0236566,red,消化和呼吸的通道，位于鼻腔，口腔的后方，喉的上方，分为鼻咽、口咽和喉咽三部分,咽
-13.627437,24.39441,red,吞食,咽
31.817963,29.8214,red,声音滞涩,咽
11.912606,11.674614,red,〔咽咽〕有节奏的鼓声,咽
43.358532,25.9111,red,声,咾
23.323364,46.348515,red,象声词,咿
39.35373,-19.071089,red,怜悯,哀
-0.7800431,14.710232,red,众多,品
13.027953,35.31449,red,微笑,哂
-6.2442284,54.746983,red,妄语,哃
40.55268,21.441862,red,唱声,哄
46.00979,-2.5321705,red,呵叱,哄
32.410957,-6.9754095,red,逗引；欺骗,哄
36.15046,6.608505,red,张口,哆
-52.6767,-12.123459,red,〔哆㕦〕大口貌,哆
43.358532,25.9111,red,声,哆
-0.07456486,43.26581,red,语助词,哆
-39.511555,6.0934525,red,鱼张口貌,哆
12.981214,-16.556196,red,〔哆嗦〕颤抖,哆
39.298508,21.261278,red,谄声,哇
1.7287072,31.381388,red,歌唱,哇
19.630726,18.496576,red,哽塞,哇
-9.236202,2.8198416,red,小孩,哇
6.353393,52.434753,red,语气词,哇
-5.430418,-36.774605,red,鱼多貌,哈
-60.323235,-31.450802,red,姓,哈
-18.372454,40.47957,red,地名用字,哈
4.513782,10.686827,red,〔哈什蚂〕蛤蟆的一个品种，产于我国*吉林省*，腹内有保护卵子的胶质块，中医视为补药,哈
5.8886595,53.949017,red,语气词,哉
58.395763,4.4334593,red,呕吐,哊
-31.77843,15.461146,red,《類篇》地夜切,哋
-65.26074,32.781487,red,方言,哋
-12.061891,36.750633,red,〔哌嗪〕英文piperazine的音译,哌
44.467796,57.193943,red,叹词,哎
44.467796,57.193943,red,叹词,哏
5.8138742,-1.6056643,red,顿，稍停顿,哏
25.334993,45.00557,red,象声词,哐
-65.26074,32.781487,red,方言,哐
-0.54790306,-59.274853,red,〔吲哚〕见“吲”,哚
22.783009,47.047104,red,象声词,哞
-36.100735,-48.44376,red,多言,哠
6.005342,-18.164999,red,圆,員
20.563084,26.20263,red,众,員
-60.323235,-31.450802,red,姓,員
35.19291,39.438313,red,鸟鸣,哢
27.231283,-5.4990416,red,言语杂乱,哤
43.358532,25.9111,red,声,哥
11.366484,29.98471,red,吟咏；念（诵）,哦
44.467796,57.193943,red,叹词,哦
44.467796,57.193943,red,叹词,哦
44.467796,57.193943,red,叹词,哦
-15.258772,39.22689,red,象声词用字,哧
-14.589832,-19.862429,red,不正貌,哨
4.3913836,1.592944,red,嗾使狗的声音,哨
12.375568,-6.181526,red,〔哨哨〕形容琐碎,哨
8.661863,15.429372,red,词曲中的衬字,哩
3.4318223,3.0435405,red,〔哩哩啦啦〕零零散散或断断续续的样子,哩
-11.870086,43.564003,red,译音用字,哩
-8.44466,20.644896,red,“英里”的旧称,哩
-25.464298,41.23227,red,〔哩伽塔〕古地名,哩
8.334336,6.4257216,red,〔哪哪〕旧时迎神赛会驱逐疫鬼的声音,哪
5.0081673,52.805904,red,语气词,哪
16.839663,59.72504,red,代词,哪
3.9033072,5.218097,red,“哪（nǎ）”的口语音，后面跟量词或数词加量词的时候，在口语里常常说nǎi或něi,哪
44.467796,57.193943,red,叹词,哪
-16.986301,41.056118,red,人名用字,哪
-19.06656,35.385265,red,〔哪吒〕神名,哪
22.07958,-8.220451,red,〔哫訾〕奉承，讨好,哫
-22.242754,-17.454134,red,〔哬哬〕也作“𧨂𧨂”,哬
14.573399,-4.951269,red,因悲伤或过分激动而流泪、发声,哭
38.72489,22.934715,red,猪惊叫声,哮
44.361885,11.929063,red,呼喊,哮
1.6154677,-3.995568,red,不作呕而吐,哯
7.6658173,-57.013874,red,〔㘓哰〕见“㘓”,哰
-38.70923,2.6725006,red,吹气声,哱
-23.590637,-11.507825,red,〔哱拜〕也作“巴拜”,哱
6.547809,38.342274,red,逆,哱
-3.3813574,23.427378,red,〔呼哱哱〕鸟名,哱
-7.518512,-27.03108,red,明智,哲
10.238313,-19.622564,red,〔啁哳〕见“啁（zhāo）”,哳
14.157425,-5.6347704,red,〔唴哴〕因悲哭过度而失声,哴
-37.827568,0.23527879,red,〔哴吭〕吹貌,哴
35.19291,39.438313,red,鸟鸣,哵
21.747446,31.603241,red,鸡鸣,哷
-39.349094,-3.512771,red,吹气声,哹
-16.676151,26.829035,red,咀嚼；泛指吃、喝,哺
9.991005,-54.392048,red,〔嗆哼〕见“嗆”,哼
44.467796,57.193943,red,叹词,哼
13.987376,-6.0452633,red,因哀痛而语塞,哽
-39.564323,0.050942186,red,咽声,哽
44.467796,57.193943,red,叹词,哽
9.9791765,-46.684216,red,尝,哾
-40.41622,6.7778554,red,〔铜哾〕鱼名,哾
13.404801,1.2916163,red,表示称许,哿
20.070097,4.435332,red,劝导；劝诱,唀
7.379551,0.36290696,red,对遭遇非常变故者的慰问,唁
35.19291,39.438313,red,鸟鸣,唂
-9.995563,39.679863,red,梵文Pāṭhaka译音的省文,唄
6.353393,52.434753,red,语气词,唄
2.1870353,21.60945,red,以掌进食,唅
-5.4856,4.971463,red,古殡殓时以玉贝放在死者口中,唅
2.1870353,21.60945,red,以掌进食,唅
25.791288,20.46917,red,〔㗻唆〕小儿相应,唆
17.186155,-62.17124,red,惊,唇
39.556164,10.012674,red,惊声,唇
-24.240683,30.948223,red,嘴唇,唇
35.12764,-25.398489,red,〔唈僾〕抑郁不舒畅貌,唈
44.467796,57.193943,red,叹词,唉
-38.55001,-2.7792594,red,饱声,唉
44.467796,57.193943,red,叹词,唉
