訶(hē): 大声斥责；责难；责备; 字数: 8
訷(訷shēn): 申说; 字数: 2
訹(xù): 受迷惑；引诱; 字数: 5
診(zhěn): 省视；查考; 字数: 4
註(hù): 用文字来解释词句; 字数: 8
証(zhèng): 谏正; 字数: 2
訾(zǐ): 不想使其上级满意; 字数: 8
訾(zī): 衡量；计量; 字数: 4
詀(zhān): 多言; 字数: 2
詀(chè): 〔詀讘〕低声细语; 字数: 6
詀(diān): 巧言; 字数: 2
詀(zhàn): 被诳，受骗; 字数: 4
詀(tiē): 妄言; 字数: 2
詁(gǔ): 用今语解释古语或用通语解释方言; 字数: 15
詂(詂fù): 言有所依; 字数: 4
詃(詃juǎn): 诱骗; 字数: 2
詄(dié): 遗忘; 字数: 2
詅(詅líng): 叫卖; 字数: 2
詆(dǐ): 谴责；骂; 字数: 3
詇(yàng): 早知，预知; 字数: 4
詉(ná): 〔譇詉〕见“譇”; 字数: 4
詉(nù): 恶言; 字数: 2
詊(詊pàn): 巧言; 字数: 2
詌(gàn): 口闭; 字数: 2
詍(yì): 多言; 字数: 2
詎(jù): 副词; 字数: 2
詏(yào): 言逆，说拗话; 字数: 5
詐(zhà): 欺骗; 字数: 2
詑(tuó): 《集韻》待可切; 字数: 5
詑(duò): 轻; 字数: 1
詑(yī): 〔詑詑〕自得貌; 字数: 5
詑(xī): 自多貌; 字数: 3
詒(yí): 留传；赠送; 字数: 4
詒(dài): 欺骗; 字数: 2
詒(tái): 懈倦貌; 字数: 3
詓(qǔ): 象声词; 字数: 3
詔(zhào): 告诉；启示; 字数: 4
詔(zhāo): 言诱; 字数: 2
評(píng): 评议；评定; 字数: 4
詖(bì): 辩论; 字数: 2
詗(xiòng): 密告；侦察，探听; 字数: 6
詘(qū): 言语钝诎; 字数: 4
詙(bá): 人名用字; 字数: 4
詙(bó): 〔評詙〕评论；估量; 字数: 6
詚(詚dá): 〔兜詚〕不静; 字数: 4
詛(zǔ): 求神加祸于人; 字数: 6
詜(tāo): 〔詜䛬〕言不节; 字数: 5
詝(詝zhǔ): 《集韻》展吕切），上語知; 字数: 8
詞(cí): 语言中最小的可以自由运用的独立音义单位; 字数: 19
詠(yǒng): 歌唱；曼声长吟; 字数: 6
詡(xǔ): 夸耀；说大话; 字数: 5
詢(xún): 询问；求教; 字数: 4
詣(yì): 候至，古代到朝廷或上级、尊长处去之称; 字数: 16
詤(huǎng): 梦言; 字数: 2
詥(hé): 谐; 字数: 1
詥(gé): 会言; 字数: 2
試(shì): 使用; 字数: 2
詨(iào): 呼唤；大叫; 字数: 4
詩(shī): 文学的一种体裁; 字数: 7
詫(chà): 夸耀; 字数: 2
詬(gòu): 耻辱; 字数: 2
詬(hòu): 愤怒; 字数: 2
詭(guǐ): 责成；要求; 字数: 4
詮(quán): 详细解释，阐明事理; 字数: 8
詯(huì): 胆气满，声在人上; 字数: 7
詰(jié): 问，细问; 字数: 3
詰(jí): 弯曲; 字数: 2
話(huà): 话语; 字数: 2
該(gāi): 军中戒约; 字数: 4
詳(xiáng): 审察；审理; 字数: 4
詴(詴wēi): 呼声；呼人; 字数: 4
詵(shēn): 众人言; 字数: 3
詷(tóng): 共同; 字数: 2
詷(dòng): 说大话; 字数: 3
詹(zhān): 话多; 字数: 2
詹(dàn): 足够; 字数: 2
詺(mìng): 辨别物名; 字数: 4
詻(lüè): 声音; 字数: 2
詼(huī): 戏谑；诙谐; 字数: 4
詿(guà): 误；搞坏; 字数: 3
誀(èr): 引诱; 字数: 2
誁(bìng): 说; 字数: 1
誂(tiǎo): 逗引；诱惑; 字数: 4
誂(diào): 仓猝; 字数: 2
誄(lěi): 古时累述死者功德以示哀悼并以此定谥; 字数: 17
誅(zhū): 指责；责备; 字数: 4
誆(kuāng): 狂言；谬言; 字数: 4
誇(kuā): 夸大；夸耀; 字数: 4
誇(qù): 歌唱; 字数: 2
誌(zhì): 记录; 字数: 2
認(rèn): 识别；辨明; 字数: 4
誎(cù): 促; 字数: 1
誏(lǎng): 言之明; 字数: 3
誏(làng): 闲言; 字数: 2
誐(é): 嘉善; 字数: 2
誑(kuáng): 欺骗；谎话; 字数: 4
誒(xī): 叹词; 字数: 2
誒(yì): 可恶声; 字数: 3
誒(None): 叹词; 字数: 2
誒(éi）): 叹词; 字数: 2
誒(ěi）): 叹词; 字数: 2
誒(èi）): 叹词; 字数: 2
誓(shì): 古代军中告诫、约束将士的言辞; 字数: 13
誔(誔tǐng): 《集韻》徒徑切; 字数: 5
誕(dàn): 说大话；虚妄不实的言论; 字数: 10
誖(bèi): 惛惑；糊涂; 字数: 4
誗(誗chán): 话讲得漂亮; 字数: 5
誘(yòu): 引导；教导；劝导; 字数: 6
誙(kēng): 〔誙誙〕奔竞之貌; 字数: 6
誚(qiào): 责备；呵斥; 字数: 4
誛(qīn): 私语; 字数: 2
語(yǔ): 议论；谈论；辩论; 字数: 6
語(yù): 告诉; 字数: 2
誠(chéng): 真心诚意; 字数: 4
誡(jiè): 告诫；规劝; 字数: 4
誢(誢xiàn): 诤语; 字数: 2
誣(wū): 说话虚妄不实; 字数: 6
誤(wù): 错误; 字数: 2
誥(gào): 告，特指上告下; 字数: 6
誦(sòng): 朗诵；念读; 字数: 4
誧(bū): 大言; 字数: 2
誧(bū): 谋; 字数: 1
誧(bū): 大言; 字数: 2
誨(huì): 教导; 字数: 2
誩(jìng): 争论; 字数: 2
説(shuō): 讲述; 字数: 2
説(shuì): 劝说别人，使之听从自己的意见; 字数: 13
説(yuè): 姓; 字数: 1
誰(shéi（又读shuí）): 代词; 字数: 2
誰(shuí): 姓; 字数: 1
誱(jié): 多言; 字数: 2
課(kè): 考核；考试; 字数: 4
誴(誴cóng): 〔謀誴〕快乐; 字数: 4
誵(誵xiáo): 言不恭谨; 字数: 4
誶(suì): 责让；责骂; 字数: 4
誷(誷wǎng): 欺罔；诬罔; 字数: 4
誸(xián): 急迫; 字数: 2
誹(fěi): 从旁指责过失; 字数: 6
誺(chī): 不知; 字数: 2
誺(lài): 误; 字数: 1
誻(tà): 〔誻誻〕语多貌; 字数: 5
誼(yì): 交情; 字数: 2
誽(nì): 刺探; 字数: 2
誽(ná): 言不正; 字数: 3
誾(yín): 和悦而正直地争辩; 字数: 8
調(tiáo): 和谐；协调；适合; 字数: 6
調(diào): 选拔或提拔官吏; 字数: 7
調(zhōu): 早晨; 字数: 2
諀(pǐ): 诽谤; 字数: 2
諀(bēi): 〔諀訾〕好说人是非; 字数: 7
諁(諁zhuó): 多言不止; 字数: 4
諂(chǎn): 奉承；献媚; 字数: 4
諃(諃chēn): 善言; 字数: 2
諄(zhūn): 教诲不倦貌; 字数: 5
諅(jì): 志; 字数: 1
諅(jī): 谋; 字数: 1
諆(qī): 欺骗；谩言; 字数: 4
談(tán): 对话；谈论; 字数: 4
諈(zhuì): 〔諈諉〕1.嘱托; 字数: 4
諉(wěi): 累；烦劳; 字数: 3
請(qǐng): 谒见; 字数: 2
請(qìng): 古代朝会名; 字数: 5
請(qíng): 领受；取得; 字数: 4
