侜(zhōu): 壅蔽; 字数: 2
依(yī): 倚傍；靠着; 字数: 4
依(yǐ): 譬喻; 字数: 2
侞(侞rú): 均; 字数: 1
価(価sì): 《川篇》音似; 字数: 4
侣(lǚ): 同伴；伙伴; 字数: 4
侮(wǔ): 欺凌；欺侮; 字数: 4
侯(hóu): 古时射礼所用射布；箭靶; 字数: 10
侯(hòu): 〔闽侯〕县名，在*福建省*，东邻*福州市*; 字数: 17
侱(chěng): 役; 字数: 1
侲(zhèn): 童子; 字数: 2
侲(zhēn): 养马人; 字数: 3
侲(chēn): 欲仆; 字数: 2
侳(zuò): 安; 字数: 1
侴(chǒu): 姓; 字数: 1
侵(qī): 渐进; 字数: 2
侵(qǐn): 形貌短小丑陋; 字数: 6
侷(侷jú): 〔侷促〕也作“局促”; 字数: 6
侸(dōu): 〔佔侸〕见“佔”; 字数: 4
侹(tǐng): 长貌; 字数: 2
侺(侺shèn): 〔𠐼侺〕见“𠐼”; 字数: 4
侻(tuō): 简单；直率; 字数: 4
侻(tuì): 恰好；相宜; 字数: 4
侼(bó): 强戾；强横; 字数: 4
侾(侾xiāo): 大貌; 字数: 2
便(pián): 安适; 字数: 2
便(biàn): 有利；合宜; 字数: 4
便(biān): 古县名; 字数: 3
俀(俀tuǐ): 弱; 字数: 1
係(xì): －（5）〕《説文》：“係，絜束也; 字数: 8
促(cù): 紧迫；急速; 字数: 4
俄(é): 瞬间；极短暂的时间; 字数: 8
俅(qiú): 冠饰貌; 字数: 3
俆(xú): 姓; 字数: 1
俆(shū): 〔俆州〕古地名; 字数: 5
俇(guàng): 远行; 字数: 2
俇(guàng): 〔俇俇〕惶遽; 字数: 4
俇(guàng): 远行; 字数: 2
俈(kù): 暴; 字数: 1
俉(wǔ): 方言; 字数: 2
俊(jùn): 才智超群的人; 字数: 6
俋(yì): 〔俋俋〕耕地的样子; 字数: 7
俌(fǔ): 辅佐; 字数: 2
俎(zǔ): 古代祭祀或宴会时盛放牲体的礼器; 字数: 15
俏(qiào): 漂亮，美好; 字数: 4
俏(xiāo): 反琴声; 字数: 3
俐(俐lì): 〔伶俐〕聪慧；机灵; 字数: 6
俑(yǒng): 古代殉葬用的木制或陶制的偶人; 字数: 14
俒(hùn): 完全; 字数: 2
俓(jìng): 水的直波; 字数: 4
俓(yíng): 急; 字数: 1
俔(qiàn): 譬喻；好比; 字数: 4
俔(xiàn): 间谍；暗探; 字数: 4
俕(俕sàn): 〔僋俕〕见“僋”; 字数: 4
俖(pěi): 不肯; 字数: 2
俗(sú): 风俗；习惯; 字数: 4
俘(fú): 俘虏；作战时擒获的敌人; 字数: 10
俙(xī): 诉讼时当面对质; 字数: 7
俚(lǐ): 聊赖，依托; 字数: 4
俚(lì): 勤; 字数: 1
俜(pī): 使；放任; 字数: 3
保(bǎo): 负幼儿于背; 字数: 5
俞(yù): 古代刳空树木做船; 字数: 8
俞(yù): 〔呴俞〕态度温和的样子; 字数: 9
俞(yù): 通“瘉（愈）”; 字数: 3
俞(shū): 〔俞兒〕人名; 字数: 4
俞(zhū): 〔離俞〕鸟名，即“離朱”; 字数: 7
俟(sì): 大; 字数: 1
俟(qí): 〔万俟〕复姓; 字数: 4
俠(xiá): 侠义；见义勇为; 字数: 6
信(xìn): 诚实；不欺; 字数: 4
信(shēn): 通“申”; 字数: 2
俣(yǔ): 〔俣俣〕魁伟貌; 字数: 5
俤(俤dì): *日本*字; 字数: 5
俥(chē): 船上动力机器的简称; 字数: 9
俥(jū): 我国象棋棋子名称，红方的“車”写作“俥”; 字数: 15
修(xiū): 修饰；装饰; 字数: 4
俯(fǔ): 屈身；低头; 字数: 4
俰(俰huò): 和; 字数: 1
俱(jù（又读jū）): 共同；一起; 字数: 4
俳(pái): 杂戏；滑稽戏; 字数: 5
