character,pinyin,similarity
悗,mán,0.35497057597032605
㦟,mái,0.354763925465733
懏,jùn,0.354763925465733
忏,chàn,0.3542544906811404
㤡,lì,0.3539446233939481
悎,jiào,0.3539446233939481
悟,wù,0.35362979423285495
忴,qín,0.3534803705276479
𢝸,guò,0.35297559632392494
慏,mǐng,0.3525964851763554
恾,áng,0.3523727972041031
𢙺,zhì,0.35161396920765253
𢣘,wèi,0.35161396920765253
憚,chǎn,0.3492507811055054
𢥳,hē,0.34889910624770704
㤆,fàn,0.348832246130585
㤆,àn,0.348832246130585
忱,chén,0.3480517659626469
怩,ní,0.34799860243941333
㦣,wèi,0.3478845612289837
𢝆,zhòng,0.34751203897759464
戇,zhuàng,0.34713643982696474
惇,dūn,0.34681369722652466
慲,mán,0.34622402923289347
怗,tiē,0.34609822767704723
愓,yáng,0.34605258969359126
𢤄,sōng,0.34602561122010256
𢗴,xī,0.34597171195962684
愷,kǎi,0.344952992328705
憧,zhuàng,0.3435018528974425
憊,bèi,0.34347486571852043
應,yīng,0.3429281168716348
㦥,xiǎn,0.34262889341742414
忊,dìng,0.34262889341742414
悽,qì,0.34262889341742414
惔,dàn,0.34262889341742414
慀,xì,0.34262889341742414
懥,zhì,0.34262889341742414
懭,kuǎng,0.34262889341742414
𢘸,jiàng,0.34262889341742414
𢛄,yà,0.34262889341742414
𢤂,lí,0.34262889341742414
愛,ài,0.3420929381406502
悝,kuī,0.34151152356458575
懭,kuǎng,0.34093085714938964
懩,ǎng,0.3408757301347918
懠,jī,0.3408687808752348
憖,yìn,0.340757061339173
悈,kè,0.34073791427658523
憨,ān,0.3404655756988385
懰,liǔ,0.3393320316137605
恪,è,0.3390995940683584
悘,yì,0.3390995940683584
惕,tì,0.3390995940683584
戁,nán,0.3390995940683584
𢚁,jì,0.3390995940683584
𢣐,īn,0.3390995940683584
㦎,uò,0.33904723033457357
慃,yǎng,0.33904723033457357
𢜗,bàng,0.33904723033457357
懝,ài,0.3368861295338761
懔,lǐn,0.33681775059873637
恉,zhǐ,0.3363307921119806
𢢹,xiòng,0.3362745955855734
愭,í,0.33619251031097713
憈,qū,0.33461685479839637
想,xiǎng,0.3344089192177154
恦,shàng,0.33386495407308603
𢗳,mí,0.33363478679288017
慺,lóu,0.3322650051188351
悍,hàn,0.33213987695801367
悍,hàn,0.33213987695801367
惴,guà,0.331993794931532
愒,hè,0.33096900519145883
憿,jiǎo,0.3299858506011285
忞,mín,0.32997948882756134
怮,yōu,0.3299519584992315
怜,lǐng,0.3299104219732238
恎,dié,0.32962024891974273
憭,liǎo,0.329303906932023
𢗊,xiè,0.32913151802879154
慙,cán,0.3286409378723653
𢚺,tēng,0.3281749703959541
𢘬,xī,0.3281328859359514
慻,juàn,0.3278994364912849
忼,hāng,0.32782129334632326
怷,shù,0.3268681782963334
愨,què,0.32664780272246363
𢡈,cuì,0.32664780272246363
𢤫,jǔ,0.32664780272246363
恰,qià,0.32658941157271865
𢗎,yì,0.32658941157271865
𢗄,xià,0.3262467012661852
慢,màn,0.3260838665014519
怸,ī,0.3260228890010008
惾,zōng,0.3257622940128366
㥌,jú,0.3256842649016985
㥯,yǐn,0.3256842649016985
恮,quān,0.3256842649016985
悂,pǐ,0.3256842649016985
慦,iù,0.3256842649016985
慬,jǐn,0.3256842649016985
𢟩,suì,0.3256842649016985
𢣏,ài,0.3256842649016985
愕,,0.32553028878483875
𢠬,què,0.32479215912850934
㥢,qiú,0.32431666107316753
𢤆,là,0.32431666107316753
懬,kuàng,0.32418324896235623
怢,tū,0.32418082730807596
懶,lài,0.32403330761343835
怬,ì,0.3236663501945825
𢗭,shè,0.3235534826138528
惠,huì,0.3235226745414031
𢛛,wàng,0.3219621193744415
慔,mù,0.3219413521101624
怠,dài,0.32126163219464476
𢠭,bā,0.32101820132978814
𢡑,lì,0.32089501190714476
恔,jiǎo,0.32006438686095773
思,sāi,0.31960770213686074
怔,zhēng,0.31958798438814123
𢢜,yè,0.3181563954569362
𢝬,shì,0.3170856362914231
惹,ruò,0.31633280944666264
恢,huī,0.3161039017174731
恍,huǎng,0.31565317409537524
愰,huǎng,0.3155887885652175
憴,héng,0.31553602364165745
𢞞,mì,0.31512983436834224
𢤯,xiè,0.31512983436834224
憀,liáo,0.31494907093196733
懞,méng,0.3146207032348472
忻,xīn,0.31406768768899973
恑,wéi,0.3135160227110505
怘,hù,0.3130552750255565
恂,xún,0.31283291641741795
惒,hé,0.31268291865857945
懂,dǒng,0.3122320144428637
慮,lǘ,0.3122044322149974
惊,jīng,0.3121632825715401
㥆,tuì,0.3121480357880566
愒,kài,0.3091947608718825
懆,sào,0.3091947608718825
懊,yù,0.3091947608718825
𢙁,wù,0.3091947608718825
㤲,qiè,0.30913551123368876
𢤱,lǒng,0.3091258837404035
𢝳,gǔ,0.3088782625930821
憖,xìn,0.3073094857444884
㥳,yuán,0.3068734482699837
𢜽,kuí,0.30591612900892046
慪,òu,0.30523350852712466
忥,xì,0.30507468255451703
惈,guǒ,0.30474166547716464
惸,ióng,0.3045684858692554
㥜,èi,0.3036058260321978
忊,tìng,0.3036058260321978
𢝓,juān,0.3022708411771698
憢,xiāo,0.3021449642750316
慧,huì,0.3020954336696083
愢,sāi,0.30121838316001653
悇,yú,0.30116993007666154
怎,zěn,0.300771263305429
惡,wū,0.300771263305429
慥,ào（旧读cào）,0.30066135054266224
憉,éng,0.2997609249027319
懯,ū,0.29907718280031276
悮,ù,0.29879761939263244
𢚭,suǒ,0.29870228454317016
愄,wēi,0.2984086453602316
惲,yùn,0.29837574455630617
㦕,lóng,0.29755003713159184
𢡎,yù,0.29755003713159184
惟,wěi,0.2971568684760076
㤇,o,0.29693959692147154
𢚫,kòu,0.2969201092043635
慵,yōng,0.2963893350758046
㦌,hū,0.2962009199741603
𢞗,pī,0.2954568256892465
怓,niú,0.29452790366391185
𢜬,uó,0.2941563288644439
㦐,nì,0.2934839362792573
憸,xiān,0.29267646843666123
𢤋,xì,0.29252665866422667
㥼,yān,0.2918898136882185
𢙮,kàn,0.2918898136882185
愚,yú,0.29174995789930064
悶,mēn,0.2916718625884553
惏,lín,0.29130945825219895
㤃,áng,0.290796450708847
忮,qí,0.2904514744265894
恀,hì,0.2898037927011505
愶,ié,0.2897518405810979
𢝂,dú,0.28968565044663547
怤,fū,0.2896782556309085
𢗹,ì,0.2896782556309085
𢛉,nèi,0.2896782556309085
憟,sù,0.2889303216699836
憕,chéng,0.28805668974261767
懿,yì,0.2871187448283274
悊,zhé,0.28642112696978556
㣾,chà,0.28637317878279067
愊,bì,0.2855351338501994
𢞠,tā,0.2853589588620056
恊,xié,0.2849847378241265
㥒,cǎi,0.2836660120056684
怐,kòu,0.28264846481009276
慎,shèn,0.28247214356953954
愢,sǐ,0.2823204636379136
𢝯,yín,0.28177825921575095
忍,rěn,0.2815562339957192
𢘿,suō,0.2813729642687579
懁,xuān,0.2811284400291934
懢,jiàn,0.2809138172877504
忝,tiǎn,0.28074967396885536
慜,ǐn,0.28064559008251777
𢡃,yì,0.28013590862841725
忪,sōng,0.28001900632322513
𢘇,dàn,0.27862573143960595
𢣼,chá,0.2764825217084786
悘,yī,0.2761959451005952
㤳,běi,0.27525407935626633
㤧,hóu,0.2749912210686505
𢠷,xiàng,0.27485878367954003
𢛔,dōng,0.27426929135423267
𢜻,chěng,0.27426929135423267
怰,xuàn,0.2740256342039715
忴,qián,0.2730389073662229
怦,ēng,0.2730389073662229
𢖷,gōng,0.2730389073662229
怳,huǎng,0.271572288878609
必,bì,0.27108733934664947
𢟪,xì,0.27102853845837466
愠,yǔn,0.2702826303568132
𢚌,xiá,0.26961287394012806
𢡹,chòng,0.26947730040793266
惢,ruǐ,0.26894825041468745
惐,yù,0.2685454617230787
怱,ōng,0.26851712102530684
悍,hàn,0.2676246378384246
𢛆,xián,0.2676246378384246
𢥚,jiào,0.2676246378384246
㥨,wěi,0.2672421568251088
㦑,xiàn,0.2672421568251088
忏,qiǎn,0.2672421568251088
怴,xuè,0.2672421568251088
𢖫,yì,0.2672421568251088
𢠲,fù,0.2672421568251088
愐,miǎn,0.26668439990790427
㦌,xù,0.26626412763483026
恜,hì,0.26559102526470174
慗,chì,0.26559102526470174
𢜯,mǔ,0.26539510093555185
㥅,hòu,0.2652365032204731
慶,qìng,0.26493517510196823
忓,hàn,0.2647382074254417
忕,tài,0.2642444369881775
忲,tài,0.2642444369881775
㤞,duó,0.26415390821533147
愒,qì,0.26357179481117365
憩,qì,0.26357179481117365
忽,hū,0.26290091952357636
㤎,ē,0.26205467759431345
𢘽,yì,0.26196699587266575
恍,guāng,0.26167280264925025
𢡉,sè,0.2614310100521524
㤞,zé,0.26114859648071154
恥,chǐ,0.2598581544709274
忒,tuī,0.2594352503771769
怹,tān,0.2594352503771769
恁,nèn,0.2594352503771769
戇,gàng,0.2594352503771769
慬,jìn,0.2575065951781395
憯,cǎn,0.2574272399220765
㤖,zhù,0.25739387113414103
憑,píng,0.25644599278229346
悗,mèn,0.2561397350230105
憖,yín,0.2558846848365217
𢛓,lán,0.2558846848365217
忒,tè,0.25587172088194193
感,hàn,0.25478496172464116
𢣞,bó,0.25448603981867357
忼,hàng,0.25385545472572835
愩,gòng,0.25342795272606367
怶,bì,0.2530579976937361
𢥏,yíng,0.2527445338725086
慎,zhēn,0.2522581168886051
惰,tuó,0.24974023198961046
𢤧,miǎo,0.24974023198961046
懫,zhì,0.2490731831265362
懋,mào,0.24830450654172992
惴,chuǎn,0.24814153957751192
惹,rě,0.2471612589567858
𢗺,chàng,0.24713276215614355
𢙲,lǚ,0.24654735101974878
𢟿,huán,0.24654735101974878
慳,qiān,0.24590506807996762
𢛘,xiáo,0.24590506807996762
𢥋,chán,0.24590506807996762
應,yìng,0.24544482072043813
𢣔,mián,0.24496828851123126
惆,dāo,0.24442404278380203
悙,hèng,0.2440643476327474
𢠿,guì,0.24382037997399336
恧,nǜ,0.24368183779783845
㤶,màng,0.2433115886273091
𢙱,lòng,0.2433115886273091
悤,l在心上，示心之多遽悤悤也。《説文》云‘从心’，囱囱當是l之變形。又云‘囱亦聲’，乃由指事而變為形聲矣。”,0.24309194757917185
恃,shì,0.2420460108169466
悂,bī,0.24113926727133805
𢗫,fǔ,0.24095763024415304
𢚑,sù,0.24095763024415304
𢠫,shù,0.24095763024415304
𢣉,yī,0.24095763024415304
㤌,gān,0.24078970989340207
恘,qiū,0.24071765503536485
㥓,qī,0.2406330393477184
㦬,luǒ,0.2406330393477184
忚,xī,0.2406330393477184
怍,zhà,0.2406330393477184
恅,lǎo,0.2406330393477184
悙,hēng,0.2406330393477184
悜,hěng,0.2406330393477184
悢,lǎng,0.2406330393477184
愗,ào,0.2406330393477184
慀,xié,0.2406330393477184
懘,chì,0.2406330393477184
𢘌,hóng,0.2406330393477184
𢚾,uàn,0.2406330393477184
𢝁,hōng,0.2406330393477184
𢝅,xiá,0.2406330393477184
𢞡,xiǎng,0.2406330393477184
𢟊,chěng,0.2406330393477184
𢟧,lǔ,0.2406330393477184
𢠹,xī,0.2406330393477184
𢣎,tuǎn,0.2406330393477184
𢣙,yìng,0.2406330393477184
