汉字,笔画,反切,拼音,释义总个数
同,6,徒紅切,tóng tòng,18
名,6,武并切 忙經切 彌正切,míng míng mìng,16
后,6,胡口切,hòu,7
吏,6,力置切,lì,3
吐,6,他魯切 湯故切,tǔ tù,7
向,6,式亮切,xiàng xiàng xiàng,38
吒,6,陟駕切,zhà zhā,1
吓,6,,hà xià（又读hè）,4
吔,6,音。,yě yē,3
吕,6,力舉切,lǚ,7
吖,6,,yā ā,3
吘,7,五苟切,ǒu,1
吙,7,呼𦚢切,uō,3
吚,7,許伊反 於夷切,xī yī,1
君,7,舉云切,jūn,6
吜,7,敕九切,chǒu,1
吝,7,良刃切,lìn,5
吞,7,吐根切 他前切,tūn tiān,5
吟,7,魚金切 牛錦切 拒蔭反,yín yǐn jìn,8
吠,7,符廢切,fèi,2
吡,7,毗必切 匹婢切,bì bǐ,1
吢,7,七鴆切,qìn,1
吣,7,七鴆切,ìn,1
吤,7,居拜切 居賀切 胡戒反,jiè gè xiè,2
吥,7,普溝切,pōu bù,2
否,7,方久切 並鄙切,fǒu pǐ,5
吧,7,伯加切 普巴切,bā ba pā,5
吨,7,徒渾切 他衮切,tún tǔn dūn,3
吩,7,普悶切,pèn fēn,1
吪,7,五禾切 呼瓜切,é huā,4
含,7,胡男切 胡紺切,hán hàn,8
听,7,宜引切 魚其切 魚衣切,yí yí yí tīng,5
吭,7,胡郎切 胡朗切,háng hàng kēng,4
吮,7,食尹切,shǔn,1
启,7,康禮切,qǐ,2
吰,7,户萌切,óng,1
吱,7,章移切 去智切,zhī zī qì,4
吲,7,矢忍切,shěn yǐn,1
吴,7,五乎切 元俱切 吐根切,wú yú tūn,7
吵,7,亡沼切 初爪切 初交切 楚教切,miǎo chǎo chāo chào,5
吷,7,許劣切 呼決切 姝悦切 古穴切,xuè xuè chuò jué,3
吸,6,許及切,xī,5
吹,7,昌垂切 尺偽切,chuī chuì,14
吺,7,當侯切 汝朱切,dōu rú,3
吻,7,武粉切,wěn,2
吼,7,呼后切,ǒu,5
吽,7,魚侯切 曉東切 呼厚切,óu hōng hǒu,2
吾,7,五乎切 牛居切 五加切,wú yú yá,6
呀,7,許加切 五加切,xiā yā ya,7
呁,7,九峻切,ùn,2
呃,7,烏界切,ài è e,4
呄,7,古得切,gé,1
呅,7,莫杯切 武粉切,méi wěn,1
呆,7,補抱切,bǎo dāi,3
呈,7,直貞切 直正切 丑郢切 渠王切,chéng chéng chěng kuáng,6
告,7,古到切 居六切,gào jū gù,9
呎,7,,chǐ（又读yīngchǐ）,1
呏,7,,shēng,1
呐,7,奴骨切 女劣切,nè nà na nuò,3
呔,7,,dāi tǎi,2
呟,8,古泫切,juǎn,1
呠,8,普本切,pěn,1
呡,8,武粉反,wěn mǐn,0
呢,8,女夷切 乃倚切,ní nǐ nī ne,6
呣,8,亡侯切,móu ḿ,3
呤,8,郎丁切,líng lìng,2
呥,8,汝鹽切,án,1
呦,8,於虯切,yōu,3
周,8,職流切,zhōu,20
呪,8,職救切,hòu,4
呫,8,他協切 尺涉切,tiè chè,2
呬,8,虚器切 丑利切,xì chì,1
呭,8,餘制切,yì,2
呮,8,去致反,qì zhī,1
呯,8,蒲兵切,píng,1
呰,9,將此切 才支切 資昔切 思計切,zǐ cī jī xì,3
呱,8,古胡切,gū guā guǎ,3
呲,9,才支切 牆之切,cí cí zī cī,4
味,8,無沸切 莫佩切,wèi mèi,10
呴,8,火羽切 呼后切 呼侯切 居候切 俱侯切 居六切,xǔ hǒu hōu gòu gōu jū,4
呵,8,虎何切 呼箇切,hē hē hā ā a kē huō,7
呶,8,女交切 女加切,náo ná nǔ,3
呷,8,呼甲切,xiā gā jiǎ,3
呸,8,鋪杯切,pēi,1
呹,8,弋質切 勑栗切,yì chì,3
呺,8,許嬌切 胡刀切,xiāo háo,1
呻,8,失人切,shēn,2
呼,8,荒烏切 虚交切 音虚 許箇切 虚訝切,hū xiāo xū hè xià,8
命,8,眉病切,mìng,17
呾,8,當割切 乙鎋切 𥊲軋切,dá yà tǎ dàn,4
呿,8,丘倨切,qù kā,3
咀,8,子與切,jǔ jǔ jǔ,6
咁,8,乎甘切 乎監切,hán xián gàn,2
咂,8,子荅反,ā,3
咃,8,吐多切,tuō,1
咄,8,當没切,duō,2
咅,8,他候切,tòu,1
咆,8,薄交切,páo,1
咇,8,蒲結切 毗必切 鄙密切,bì bì bì,5
咈,8,符弗切,fú,2
咉,8,烏郎切 烏朗切,yāng yǎng,2
咋,8,側革切 鋤陌切 側駕切,zé zé zhà zǎ zhā,6
和,8,胡卧切 户戈切,hè hé huò huó huo hú,35
咍,8,呼來切 湯來切,hāi tāi,5
咎,8,其九切 古勞切,jiù gāo,5
咐,8,奉蒲切,fú fù,2
咓,7,五寡切,wǎ,1
咔,8,音弄,nòng kā kǎ,2
咕,8,,gū gu,3
咖,8,音。,jiā gā kā,3
咗,8,,uǒ,2
咘,8,音布,bù,1
咚,8,,dōng,1
咞,7,胡典切 胡千切,xiàn xián,0
咠,9,七入切,qì,2
咡,9,仍吏切 人之切,èr ér,2
咢,9,五各切,è,5
咣,9,古横切,gōng guāng,2
咤,9,陟駕切,hà,4
咥,9,丑栗切 虚其切 徒結切 丁結切 陟利切,dié dié dié dié zhì,5
咦,9,延知切 喜夷切,yí xī,3
咧,9,力蘖切,liè liē liě lie,4
咨,9,即夷切,zī,5
咩,9,,iē（旧读mǐ）,3
咪,9,,miē（旧读mǐ） mī mǎi mǐ,3
咫,9,諸氏切,zhǐ,4
咬,9,五巧切 古肴切 於交切 吉巧切,yǎo jiāo yāo jiǎo,11
咭,9,許吉切 恪八切,xī qià jī,3
咮,9,陟救切 中句切 章俱切 汝朱切,zhòu zhù zhū rú,5
咯,9,歷各切 剛鶴切 音卡,luò gē kǎ kā lo,4
咰,9,所律切 須倫切,shuài xún,1
咱,9,子葛切 莊加切,zá zán zǎ zan,7
咳,9,户來切 柯開切,hái hāi ké（旧读kài） gāi,5
咴,9,呼回切 何來反,huī hái,2
咵,9,苦瓦切,uǎ,3
咶,9,火怪切 善指切 胡化切,huài shì guō guā huà,2
咷,9,徒刀切 他弔切,táo tiào,3
咸,9,胡讒切 古斬切 居咸切,xián jiǎn jiān,8
咹,9,烏葛切 於旰切,è àn ān ǎn,5
咺,9,況晚切 許元切,xuǎn xuān,3
咻,9,况羽切 許尤切 虚交切 吁句切,xǔ xiū xiāo xù,5
咼,8,苦緺切 古馬反 古禾切,wāi hé wǒ wō guǎ guō,3
咽,9,烏前切 於甸切 烏結切 縈玄切,yān yàn yè yuān,6
咾,9,魯晧切,ǎo,2
咿,9,於脂切,ī,2
哀,9,烏開切,āi,7
品,9,丕飲切,pǐn,14
哂,9,式忍切,shěn,1
哃,9,徒紅切,tóng,1
哄,9,胡貢切 呼公切,hòng hōng hǒng,6
哅,9,虚容切 呼公切,xiōng hōng,0
哆,9,尺氏切 陟駕切 昌志切 丁佐切 丁寫切,chǐ zhà chì duò diě duō,8
哇,9,烏瓜切 涓畦切 獲媧切,wā guī huá wá wa,9
哈,9,五合切 呼合切 曷閣切 呼馬切 託合切 色洽切,hā hē hé hǎ tà shà hà,10
哉,9,祖才切,zāi,4
哊,9,于六切,òu,2
哋,9,地夜切,diè dì,2
哌,9,音孤,gū pài,1
哎,8,,i,2
哏,9,,hěn ǹ gén,3
哐,9,,kuāng qiāng,2
哚,9,,duǒ,1
哞,9,,mōu,1
哠,10,後到切,hào,1
員,10,王權切 王分切 王問切,yuán yún yùn,14
哢,10,盧貢切,lòng,1
哤,10,莫江切,máng,1
哥,10,古俄切,gē,6
哦,10,五何切,é ó ǒ ò,4
哧,10,施隻切,xià（又读hè） chī,1
哨,10,七肖切 蘇遭切 相邀切,shào sāo xiāo xiào,13
哩,10,力忌切,lì lī li lǐ（又读yīnglǐ） mǎi,6
哪,9,囊何切 乃箇切 乃結切,nuó na nǎ nǎi（又读něi） nà niè né,8
哫,10,即玉切,ú,3
哬,10,寒歌切,hé,1
哭,10,空谷切,kū,4
哮,10,許交切 呼教切 黑角切,xiào xiào xuē,4
哯,10,胡典切,xiàn,1
哰,10,魯刀切,láo,1
哱,10,普没切 補妹切 音勃,pò bèi《集韻》補妹切，去隊幫。 bā bó bō,4
哲,10,陟列切,zhé,4
哳,10,陟鎋切,zhā,1
哴,10,力讓切 魯當切,liàng láng,2
哵,10,博拔切,ā,2
哷,10,力輟切 劣戍切,liè lǜ,1
哹,10,縛謀切,ú,3
哺,10,薄故切 奔模切 匪父切,bǔ bū fǔ,4
哼,10,虚庚切,hēng hng,6
哽,10,古杏切 於杏切,gěng yǐng yìng ǹg（又读ń）,6
哾,10,山劣切 音悦,shuō yuè,2
哿,10,古我切,gě,1
唀,10,音誘,yòu,1
唁,10,魚變切,yàn,1
唂,10,古禄切,gǔ,1
唃,10,古禄切 音觜,gǔ zuǐ,0
唄,10,薄邁切,bài bei,3
唅,10,火含切 胡紺切,hán hán án,5
唆,10,蘇禾切 數化切,suō shuà,3
唇,10,職鄰切 之刃切 船倫切,zhēn zhèn chún,3
唈,10,於汲切,ì,2
唉,10,烏開切 於駭切,āi ǎi ài,4
唊,10,古協切 謙琰切,jiá qiǎn,4
唋,10,通都切,tū,1
唌,9,徒干切 夷然切 蕩旱切,xián yán dàn,2
唍,10,户版切,wǎn,1
唎,10,力至切,ì,2
唏,10,虚豈切 許既切 許介切,xī xī xiè,5
唐,10,徒郎切,táng,11
唑,10,時制反,shì zuò,1
唒,10,才尤切,qiú,1
唓,10,音車,hē,2
唔,10,,wù wú ńg（又读ń） ḿ,3
唕,10,,z鄌,1
唗,10,,dōu,1
唚,10,,qīn qìn,1
唣,10,,None,2
唤,10,火貫切,huàn,3
唦,10,音沙,hā,3
唧,10,資悉切 側瑟切,jī jié,3
唩,11,烏禾切 鄔毁切,wō wěi,2
唪,11,蒲蠓切 扶隴切,běng fěng,5
唫,11,渠飲切 魚金切,jìn yín,3
唬,11,呼訝切 古伯切 呼刀切,xiāo guó xià hǔ háo,4
唭,11,去吏切,qì,1
售,11,承呪切 神六切,shòu shú,3
唯,11,以水切 以追切,wěi wéi,4
唰,11,所劣切 數滑切,shuā shuā huā,5
唱,11,尺亮切,chàng,8
唲,11,汝移切 乙佳切,ér wā,2
唳,11,郎計切,lì,1
唴,10,丘亮切,qiàng,2
唵,11,烏感切,ǎn ān,5
唶,11,側伯切 子夜切,zé jiè,3
唷,11,余六切,yù yō,3
唸,11,都甸切,diàn niàn,2
唹,11,央居切,yū,1
唺,11,他典切,tiǎn,1
唻,11,洛代切,lài lai（又读lái）,2
唼,11,色甲切 七接切 音𠯗,shà qiè zā,2
唽,11,先的切,xī,1
唾,11,湯卧切,tuò,3
唿,11,呼骨切,ū,0
啀,11,五佳切,i,2
啁,11,陟交切 都勞切 張流切,zhāo dāo zhōu tiáo（旧读diào）,5
啃,11,,ěn,3
啄,11,竹角切 職救切,zhuó zhòu,4
啅,11,竹角切 陟教切,zhuó zhào,2
商,11,式羊切,shāng,14
啇,11,都歷切 施隻切,dì shì zhāi,2
啈,11,亨孟切 牙葛切 才達切,hèng hēng è zá,3
啉,11,盧含切,lán lìn lín,4
啊,10,安賀切,è ā á ǎ à a,6
啋,11,音綵 倉來切 許饒反,cǎi cāi xiāo,4
啌,11,許江切 枯江切,xiāng qiāng,2
啍,11,徒渾切 朱倫切 虚良切 通回切 覩猥切,tūn zhūn xiāng tuī duǐ,6
啎,11,五故切,wǔ,2
問,11,亡運切,wèn,13
啐,11,七内切 子聿切 才達切 音集,cuì zú zá è,7
啑,11,所甲切 作答切 即涉切 都計切,shà zā jié dié tì,2
啒,11,古忽切,gǔ,1
啓,11,康禮切,qǐ,16
啖,11,徒敢切,dàn,4
啗,11,徒敢切,dàn,1
啘,11,於劣切,yè wā,2
啙,12,將此切 才支切,zǐ cī,1
啚,11,方美切 同都切,bǐ tú,2
啛,11,取内切,uì,1
啜,11,昌悦切 陟劣切,chuò zhuó chuài,6
啝,11,音和,é,2
啞,11,烏格切 衣嫁切 烏下切,è yā yǎ,10
啡,11,匹愷切 蒲皆切,pèi pái fēi,3
啢,11,,liǎng（又读yīngliǎng）,2
啤,11,音卑,bēi pí,2
啥,11,,shá（又读shà）,1
啦,11,,la lā,1
啨,11,於丁切 慈盈切,yīng qíng,2
啪,11,,pā,1
啳,11,音權,quán jué,2
啵,11,,bō bo,2
啶,11,,d靚g,1
啷,11,,āng,2
啻,12,施智切 丁計切,chì dì,5
啼,12,杜奚切,í,2
啽,12,吾含切 烏含切,án ān,2
啾,12,即由切,jiū,2
啿,12,徒感切,àn,2
喀,12,苦格切,kā kè ke,5
喁,12,魚容切 元俱切,yóng yú,2
喂,12,於韋切,èi,2
喃,12,女咸切 乃感切,nán nǎn,3
善,12,盧黨切,lǎng,17
喅,12,余六切,yù,1
喇,12,郎達切,lǎ lá lā la,5
喈,12,古諧切 許介切,jiē xiè,3
喉,12,户鉤切,hóu,1
喊,12,呼覽切 苦濫切 居咸切,hǎn kàn jiān,5
喋,12,徒協切 丁愜切 丈甲切 去涉切,dié dié zhá shà qiè,4
喌,12,職流切,zhōu,1
喍,13,鉏佳切,chái,1
喎,11,苦緺切,wāi,3
喏,11,爾者切,rě nuò,2
喑,12,於金切 於錦切 於禁切,yīn yǐn yìn,7
喒,12,子感切 祖含切,zǎn zán zà zan,2
喓,12,於霄切,yāo,1
喔,12,於角切 烏谷切,wō wū ò o,4
喕,12,彌演切,miǎn,1
喖,12,洪孤切,hú,1
喗,12,魚吻切,yǔn,1
喘,12,昌兖切,chuǎn,3
喙,12,許穢切 丁候切,huì zhòu,7
喛,12,火貫切 于元切 火遠切 胡戈切,huàn yuán xuǎn hé,6
喜,12,虚里切 許記切 虚其切 昌志切,xǐ xǐ xī chì,8
喝,12,於犗切 許葛切 丘蓋切,yè hè hē kài,7
喟,12,丘愧切 呼怪切,kuì huài,1
喠,12,之隴切 充隴切,zhǒng chǒng,3
喡,12,于非切 于貴切,wéi wèi,3
喢,12,山輒切 山洽切 叱涉切,shà shà chè,4
喣,12,況羽切,ǔ,1
喤,12,户盲切,huáng,4
喥,12,徒落切 陟嫁切,duó zhà,1
喦,12,五咸切 而涉切,yán niè,2
喧,12,況袁切 况遠切,xuān xuǎn,4
喨,12,力讓切,iàng,1
喪,12,蘇浪切 息郎切,sàng sāng,9
喫,12,苦擊切 口賣切,chī kài,7
喬,12,巨嬌切 舉夭切,qiáo jiǎo,6
喭,12,魚變切 語限切,yàn yǎn,2
單,12,都寒切 黨旱切 市連切 常演切 齒善切 徒案切 之膳切 唐干切,dān dǎn chán shàn chǎn dàn zhàn tán,16
喯,11,普悶反,pèn bēn,2
喰,12,音餐 音孫 七移反,cān sūn qī,1
喱,12,,l?,1
喲,12,,yō yo,3
喳,12,,zhā chā,4
喴,12,,ēi,2
喵,11,,miāo,1
喹,12,,ku?,1
喻,12,羊戍切 容朱切,yù yú,6
喿,13,蘇到切 千遥切,zào qiāo,0
嗀,13,呼木切,hù,2
嗂,13,餘昭切,yáo,1
嗃,13,呵各切 許交切 呼教切 火酷切,hè xiāo xiào hù,5
嗄,13,所嫁切,shà á a xià,3
嗅,13,許救切,xiù,1
嗆,13,此羊切 鋤庚切,qiāng qiàng chéng,5
嗇,13,所力切,sè,9
嗈,13,於容切,yōng,1
嗉,13,桑故切,ù,2
嗊,13,呼孔切,hǒng gǒng gòng,3
嗋,13,虚業切,ié,1
嗌,13,伊昔切 烏懈切,yì ài,3
嗎,13,,mà ma má mǎ,3
嗏,12,初加切,hā,3
嗐,13,下蓋切,ài,2
嗑,13,古盍切 胡臘切 迄甲切,kè kē hé xiá,5
嗒,12,吐盍切 都合切,tà dā da,4
嗓,13,寫朗切,ǎng,2
嗔,13,徒年切 昌真切,tián chēn,3
嗕,13,而蜀切,rù,1
嗖,12,所六切 所救切,sù sòu sōu,3
嗗,12,烏八切,wā gū,2
嗘,13,堅奚切,jī,1
嗙,13,甫盲切 補曠切,bēng bàng pǎng,4
嗚,13,哀都切 烏故切,wū wù,4
嗛,13,乎監切 苦簟切 苦兼切 詰叶切,xián qiǎn qiàn qiān qiè,3
嗜,13,常利切,shì,2
嗝,13,古核切,é,2
嗞,12,子之切,zī,5
嗟,12,子邪切 子夜切,jiē jiè,3
嗡,13,烏公切 鄔孔切,wēng wěng,2
嗢,12,烏没切,wà,2
嗣,13,祥吏切,sì,6
嗤,13,赤之切,hī,2
嗥,13,胡刀切,háo,1
嗦,13,,suō,1
嗨,13,,hāi hēi,2
嗩,13,,suǒ,2
嗪,13,,q韓,1
嗬,13,,ē,2
嗯,13,,ńg（又读ń） ňg（又读ň） ǹg（又读ǹ）,3
嗲,13,,diǎ,1
嗵,13,,tōng,1
嗶,13,壁吉切,bì,1
嗷,13,五勞切,áo,1
嗹,13,落賢切,ián,3
嗺,14,臧回切 素回切 祖猥切,zuī suī zuǐ,6
嗻,14,之夜切 之奢切 章恕切,zhè zhē zhù zhe,5
嗼,13,慕各切,mò,2
嗽,14,所救切 蘇奏切,suō（旧读shuò） shù sòu,2
嗾,14,蘇后切,sǒu,2
嗿,14,他感切,tǎn,1
嘀,14,音謫,zhé dī dí,2
嘁,14,音足 子荅切,zú zā qī,2
嘂,14,古弔切,jiào,1
嘃,14,音憧,chōng,1
嘄,14,堅堯切 吉弔切 覩老切,jiāo jiào dǎo,1
嘅,12,苦愛切,kǎi gé,2
嘆,14,他旦切,tàn,4
嘇,14,師咸切 七紺切,shān càn shěn,2
嘈,14,昨勞切,cáo,1
嘉,14,古牙切,jiā,6
嘌,14,撫招切,piāo piào,4
嘍,14,郎斗切 落侯切,lǒu lóu lou,5
嘎,14,古黠切,gā gá gǎ,4
嘏,14,,gǔ（又读jiǎ）,4
嘐,14,許交切 古肴切 郎刀切 巴效切 眉救切,xiāo jiāo láo bào miù,3
嘑,14,荒烏切 荒故切,hū hù,4
嘒,14,呼惠切,huì,3
嘓,14,古獲切,uō,2
嘔,14,烏侯切 烏后切 匈于切 春朱切,ōu ǒu òu xū chū,7
嘕,14,許延切,xiān,1
嘖,14,側革切,zé,6
嘗,14,市羊切,cháng,8
嘘,14,朽居切,xū shī,5
嘙,14,音婆,pó,1
嘚,14,東客切,dé dē dēi dāi,4
嘛,14,,má ma,3
嘜,14,,m鄆,2
嘝,14,,h?,1
嘞,14,,lei lē,2
嘟,13,音都,ū,3
嘡,14,,tāng,1
嘢,14,,yě,1
嘣,14,,ēng,3
嘦,14,,ji鄌,1
嘧,14,,m?,1
嘩,13,胡瓜切,huá huā,1
嘪,15,莫蟹切,mǎi,1
嘬,15,楚夬切,chuài zuō,5
嘭,15,蒲庚切,pēng,1
嘮,15,敕交切 郎刀切 虚交切,chāo láo lào xiāo,3
嘯,16,蘇弔切 尺栗切,xiào chì,3
嘰,15,居依切,jī,4
嘲,15,陟交切,cháo zhāo,3
嘳,15,丘愧切,uì,2
嘴,16,祖委切,uǐ,2
嘵,15,許幺切,xiāo,2
嘶,15,先稽切,ī,4
嘸,15,斐父切,fǔ ḿ,2
嘹,15,落蕭切 力弔切,liáo liào,2
嘺,15,渠遥切 丘召切,qiáo qiào,2
嘻,15,許其切,ī,2
嘼,15,許救切 許六切 神咒切,chù xù shòu,2
嘽,15,他干切 昌善切 稱延切 湯何切 黨旱切,tān chǎn chān tuō dǎn,6
嘾,15,徒感切 徒南切,dàn tán,2
嘿,15,莫北切 莫六切 迄得切,mò mù hēi,2
噁,15,烏路切 屋郭切,wù wò ě,3
噂,15,兹損切,zǔn,1
噃,15,孚袁切,fān bo,2
噅,15,許為切,uī,2
噆,15,子荅切,cǎn,2
噇,15,宅江切,huáng,2
噈,15,子六切 作答切 曷閤切,cù zā hé,2
噉,14,徒敢切,àn,1
噊,15,餘律切,yù,2
噋,15,他昆切 苦郭切,tūn kuò,2
噌,15,楚耕切 慈陵切,chēng cēng,4
噍,15,才笑切 即消切 將由切,jiáo jiāo jiū,2
噎,15,乙角切 烏結切 壹計切 乙界切,wò yē yì ài,8
噏,15,許及切,ī,1
噔,15,鐙二反,ēng,2
噗,15,,pū,1
噘,15,,uē,1
噙,15,,q韓,1
噚,15,,xún（又读yīngxún）,1
噝,15,,sī,2
噞,16,魚檢切,yǎn,3
噠,15,宅軋切,dā dā dā,5
噡,16,職廉切 都甘切,zhān dān,1
噢,15,於武切 於六切 於到切,yǔ yù ào ō,4
噣,16,陟救切 竹角切 之欲切 徒谷切,zhòu zhuó zhú dú,4
噤,16,巨禁切,jìn,5
噥,16,奴冬切 女江切,nóng náng,4
噦,16,於月切 呼會切,yuě huì,4
噧,15,許介切,xiè,1
器,16,去冀切,qì,12
噩,16,五各切,è,3
噪,16,蘇到切,ào,3
噫,16,烏界切 於其切 乙力切,ài yī yì,3
噬,16,時制切,shì,4
噭,16,古弔切 詰弔切 詰歷切,jiào qiào chī,2
噮,16,烏縣切,yuàn,1
噯,16,於蓋切,ǎi ài āi,5
噰,16,於容切 委勇切,yōng yǒng,2
噱,16,其虐切,jué xué,4
噲,16,苦夬切 古外切 古活切,kuài guài kuò wèi,5
噳,16,虞矩切,yǔ,1
噴,15,普魂切 芳問切,pēn pèn pen fèn,6
噶,15,古渴切,gé gá,3
噷,16,許淫切,xīn hēn,3
噸,16,,dūn,2
噹,16,,dāng,2
噻,16,,āi,2
噼,16,,pī,1
噿,17,遵誄切,uǐ,2
嚀,17,奴丁切,níng,1
嚁,17,亭歷切,dí,1
嚂,17,盧瞰切 呼覽切,làn hǎn,2
嚃,16,他合切,tà,1
嚄,16,胡伯切 屋郭切,huò wò,2
嚅,17,人朱切,rú,1
嚆,16,虚交切,hāo,1
嚇,17,呼格切 呼訝切,hè xià,5
嚈,17,益涉切,è,1
嚊,17,匹備切 虚器切,pì xì xiù,1
嚋,17,陳留切 張流切,chóu zhōu,1
嚌,17,在詣切 居諧切 莊皆切,jì jiē zhāi,4
嚍,17,即刃切,jìn,1
嚎,17,壺高切,áo,1
嚏,17,丁計切,tì,1
嚓,17,,cā chā,2
嚔,18,都計切 陟利切,tì zhì,1
嚕,18,籠五切,lǔ lū,5
嚗,18,北角切 披教切 薄報切,bó pào bào,4
嚘,18,於求切,yōu,2
嚙,18,五巧切 五結反,yǎo niè,0
嚚,18,語巾切,yín,3
嚛,18,呼木切,hù yo,3
