汉字,笔画,反切,拼音,释义总个数
仍,4,如乘切,réng,8
仔,5,子之切 即里切,zī zǐ zǎi,3
仕,5,鉏里切,shì,6
他,5,託何切 唐佐切,tā tuó,2
仗,5,直亮切,hàng,5
付,5,符遇切,fù fù fù,6
仙,5,相然切 息淺切,xiān xiǎn,5
仚,5,許延切,xiān,1
仛,5,徒落切 闥各切 丑亞切 陟格切,duó tuō chà zhé,3
仜,5,户公切,hóng,1
仝,5,徒紅切,tóng,1
仞,5,而振切,rèn,5
仟,5,蒼先切,iān,1
仠,5,古旱切 侯旰切,gǎn hàn,1
仡,5,魚訖切 五忽切,yì wù gē,3
代,5,徒耐切,dài,10
令,5,力政切 郎丁切 力延切,lìng líng lián lǐng,18
以,4,羊已切 象齒切,yǐ sì,19
仨,5,,sā,1
仫,5,,mù,1
仯,6,初教切 弭沼切,chào miǎo,2
仰,6,魚兩切 魚剛切,yǎng áng,10
仱,6,渠金切 居陵切,qín jī,1
仲,6,直衆切,zhòng,5
仳,6,匹婢切 房脂切 必至切,pǐ pí bì,4
仴,6,五活切,wò,1
仵,6,疑古切,wǔ,3
件,6,其輦切 迷浮切,jiàn móu,3
价,6,古拜切,jiè jià（又读jie）,4
仸,6,於兆切,yǎo fó,2
仹,6,敷容切,fēng,1
任,6,汝鴆切 如林切 女禁切,rèn rén lìn,26
份,6,卜巾切,bī fèn,3
仿,6,妃兩切 符方切,fǎng páng,4
伀,6,職容切,zhōng,3
企,6,丘弭切,qǐ,6
伃,6,以諸切 演女切 象吕切,yú yǔ xù,4
伄,6,多嘯切,diào,1
伅,6,杜本切,dùn,1
伆,6,文弗切,wù,2
伈,6,斯甚切 力錦切,xǐn lǐn,1
伉,6,苦浪切 居郎切 口朗切,kàng gāng kǎng,8
伊,6,於脂切,yī,7
伋,5,居立切 極入切,jí jí fān,4
伌,6,烏懈切 音厄,ài è,1
伍,6,疑古切,wǔ,9
伎,6,渠綺切 支義切 巨支切 去智切,jì zhì qí qì,3
伏,6,房六切 扶富切,fú fù,20
伐,6,房越切,fá,11
休,6,許尤切 吁句切 火羽切,xiū xù xǔ,20
伒,6,居焮切 音吟,jìn yín,2
伓,6,貧悲切,ī,0
伕,6,方鳩切,ū,1
众,6,音吟,yín zhòng,1
优,6,音尤,yóu yōu,2
伙,6,,huǒ huo,7
伝,6,,yún,1
伢,6,,yá,1
伭,7,胡田切,xián,3
伮,7,農都切,nǔ,0
伯,7,博陌切 莫白切 必駕切,bó mò bǎi bà,9
估,7,,gū（又读gǔ） gù,6
伲,7,乃倚切 女乙反,nǐ nì,1
伳,7,私列切,xiè,1
伴,7,蒲旱切 薄半切,bàn pàn,3
伶,7,郎丁切,líng,5
伸,7,失人切,shēn,5
伹,7,七余切 徂古切,qū zù,2
伺,7,相吏切 相吏切,sì cì,4
伻,7,普耕切,bēng,3
似,6,詳里切,sì shì,7
伽,7,求迦切,qié jiā gā,5
伾,7,晡枚切,pī pī pī,6
伿,7,以豉切,yì,1
佁,7,象齒切 丑吏切,yǐ（又读ǎi） sì chì,5
佂,7,諸盈切,zhēng,1
佃,7,徒年切 堂練切,tián diàn,5
佄,7,胡甘切 古暗切,hān gàn,1
佅,7,莫話切,mài,1
但,7,蕩旱切 徒旱切 於店切,tǎn dàn yàn,7
佇,7,直吕切,zhù,3
佈,7,博故切,ù,0
佉,7,丘伽切 丘於切,qiā qū,3
佊,7,甫委切,bǐ,0
佋,7,市沼切,zhāo（旧读sháo） shào,0
佌,8,雌氏切,cǐ,2
位,7,于愧切 力至切,wèi lì,12
低,7,都奚切,dī,6
住,7,持遇切,zhù,6
佐,7,則箇切,zuǒ,7
佑,7,于救切,yòu,1
佒,7,烏郎切 於良切,yǎng yāng,2
体,7,蒲本切 千内反,bèn cuì tǐ,2
佔,7,癡廉切 處占切 丁兼切 陟陷切,chān chān diān zhàn,2
何,7,胡可切 胡歌切,hè hé,6
佖,7,毗必切,bì,2
佗,7,徒河切 託何切 他佐切 余支切,tuó tuō tuò yí,4
佘,7,時遮切,shé,1
余,7,以諸切 同都切 詳余切 羊茹切 視遮切,yú tú xú yù shé,9
佚,7,夷質切 徒結切,yì dié,10
佛,7,敷勿切 符弗切 薄没切 薄宓切 符弗切,fú fú bó bì fó,7
作,7,則落切 則落切,zuò zuō,24
佝,7,丘堠切 呼漏切 恭于切,kòu gōu jū,2
佞,7,乃定切,nìng,4
佟,7,徒冬切,tóng,1
你,7,乃里切,nǐ,1
佡,7,許延反,xiān,1
佢,6,,qú,1
佣,7,,yòng yōng,2
佤,6,,wǎ,1
佧,7,,kǎ,1
佩,8,蒲昧切,pèi,5
佪,8,户恢切 胡隈切,huí huái,1
佫,8,各頟切 下各切,gé hè,1
佬,8,力彫切,liáo lǎo,2
佭,8,音降,xiáng,1
佮,8,古沓切 烏合切,gé è,2
佯,8,與章切,yáng,2
佰,8,博陌切 莫白切,bǎi mò,4
佲,8,母迥切,mǐng,1
佳,8,古膎切,jiā,3
佴,8,仍吏切 奴代切,èr nài,4
併,8,卑政切,bìng,5
佶,8,巨乙切,jí,3
佷,8,户懇切 胡登切,hén héng,1
佸,8,户括切,huó,3
佹,8,過委切 俱為切,guǐ guī,4
佺,8,此緣切,quán,1
佻,8,吐彫切 徒聊切 他弔切 丁了切 餘招切 大到切 直紹切,tiāo tiáo tiào diǎo yáo dào zhào,9
佼,8,古肴切 古巧切 何交切,jiāo jiǎo xiáo,6
佽,8,七四切,cì,4
佾,8,夷質切,yì,1
使,8,踈士切,shǐ,16
侁,8,所臻切,shēn,5
侂,8,他各切,tuō,2
侃,8,空旱切,kǎn,3
侄,8,之日切,zhí,4
侅,8,古哀切 侯楷切,gāi hài,3
來,8,洛哀切 洛代切,lái lài,19
侇,8,延知切,yí,1
侈,8,尺氏切,chǐ,9
侉,8,枯瓜切 胡瓜切 安賀切 尤孤切,kuǎ huá è wú,7
侊,8,古黄切,guāng,1
例,8,力制切 力蘖切,lì liè,7
侍,8,時吏切,shì,9
侏,8,章俱切 張流切,zhū zhōu,5
侐,8,况逼切,xù,1
侑,8,于救切,òu,4
侒,8,烏寒切 阿侃切,ān ǎn,1
侓,8,勒没切,lù,1
侔,8,莫浮切,móu máo,3
侕,8,人之切,ér,1
侖,8,力迍切,lún lùn,1
侗,8,他紅切 徒紅切 他孔切 徒弄切,tōng tóng tǒng dòng,7
侘,8,丑亞切,chà,1
侙,8,耻力切,chì,1
侚,8,辭閏切 須閏切 松倫切,xùn xùn xún,4
供,8,居用切 九容切,gòng gōng,10
侜,8,張流切,zhōu,2
依,8,於希切 隱豈切,yī yǐ,14
侞,8,人余切,rú,1
侟,8,,cún jiàn,0
価,8,音似,sì,1
侣,8,力舉切,lǚ,1
侮,9,文甫切,wǔ,4
侯,9,户鉤切,hóu hòu,12
侱,9,丑郢切 他頂切,chěng tǐng,1
侲,9,章刃切 職鄰切 癡鄰切,zhèn zhēn chēn,3
侳,9,則臥切,zuò,3
侴,9,齒九切,chǒu,1
侵,9,七林切 七稔切,qī qǐn,16
侷,9,渠玉切,jú,1
侸,9,殊遇切 當侯切,shù dōu,1
侹,8,他鼎切,tǐng,9
侺,9,時鴆切,shèn,1
侻,9,他括切 吐外切,tuō tuì,6
侼,9,薄没切,bó,2
侾,9,虚交切,xiāo,1
便,9,房連切 婢面切,pián biàn biān,14
俀,9,吐猥切,tuǐ,1
係,9,古詣切,xì,7
促,9,七玉切 測角切,cù chuò,9
俄,9,五何切,é,4
俅,9,巨鳩切,qiú,3
俆,9,似魚切 商居切,xú shū,2
俇,9,求往切,guàng guàng guàng,5
俈,9,枯沃切,kù,1
俉,9,五故切 訛胡切,wǔ wú,1
俊,9,子峻切 輸閏切 徂昆切,jùn shùn dūn,5
俋,9,直立切,yì,2
俌,9,方矩切,fǔ,1
俍,9,吕張切,liáng,0
俎,9,側吕切,zǔ,3
俏,9,七肖切 仙妙切 思邀切,qiào xiào xiāo,4
俐,9,音利,lì,1
俑,9,余隴切,yǒng,2
俒,9,胡困切,hùn,1
俓,9,古定切 五莖切,jìng yíng,6
俔,9,苦甸切 胡典切,qiàn xiàn,3
俕,9,蘇紺切,sàn,1
俖,9,普乃切,pěi,2
俗,9,似足切,sú,4
俘,9,芳無切,fú,3
俙,9,香衣切,xī,3
俚,9,良士切 良志切,lǐ lì,7
俛,9,匪父切 亡辨切,fǔ miǎn,0
俜,9,普丁切,pī,1
保,9,博抱切,bǎo,19
俞,9,羊朱切 俞戍切 勇主切 舂遇切 舂朱切 照居切,yù yù yù shù shū zhū,9
俟,9,牀史切 渠希切,sì qí,4
俠,9,胡頰切,xiá,7
信,9,息晋切 升人切,xìn shēn,21
俣,9,虞矩切,yǔ,1
俤,9,,dì,1
俥,9,,chē jū,2
修,9,息流切,xiū,16
俯,10,方矩切,fǔ,3
俰,10,胡卧切,huò,1
俱,10,,jù（又读jū）,5
俳,10,蒲枚切,pái pái pái,10
俴,10,慈演切,jiàn,2
俵,10,方廟切,biào,2
俶,10,昌六切 神六切 他歷切,chù shū tì,6
俷,10,父尾切,fèi fèi fèi,5
俸,10,扶用切 補孔切,fèng běng,3
俹,10,依嫁切,yà,0
俺,10,於驗切 安敢切,yàn ǎn,2
俽,10,許斤切,xī,1
俾,10,并弭切 毗至切 毗至切,bǐ bǐ bì,4
俿,10,直宜切,hǔ chí,1
倀,10,褚羊切 除庚切 猪孟切,chāng chéng zhèng,6
倁,10,音知,zhī,1
倃,10,其九切,jiù,1
倄,10,胡茅切 于罪切,yáo wèi,2
倅,10,七内切 臧没切,cuì zú,4
倆,10,里養切,liǎng liǎ,2
倇,10,於阮切,wǎn,2
倈,10,里之切 洛代切 利遮切,lái lài liē,5
倉,10,七岡切 楚亮切,cāng chuàng,4
倊,10,子弄反,zòng,1
個,10,古賀切,gè gě,5
倌,10,古丸切,guān,4
倍,10,薄亥切 蒲枚切,bèi péi,9
倏,10,式竹切,shū,2
們,10,莫困切,mèn men（旧读mén）,3
倒,10,都晧切 都導切,dǎo dào,15
倓,10,徒甘切 徒濫切 吐濫切,tán dàn tàn,2
倔,10,衢物切 衢物切,jué juè,3
倕,10,是為切 馳偽切,chuí zhuì,2
倖,10,胡耿切 下項切,xìng xìng xìng,6
倗,10,步崩切 普等切,péng pěng,3
倘,10,坦朗切 齒兩切,tǎng cháng,3
候,10,胡遘切,hòu,19
倚,10,於加切 於綺切 居宜切 於宜切,yā yǐ jī yī,17
倛,10,丘其切 去吏切,qī qì,3
倜,10,他歷切 多嘯切 張流切,tì diào zhōu,5
倝,10,古案切,gàn,2
倞,10,渠敬切 力讓切,jìng liàng,3
借,10,子夜切,jiè,4
倠,10,許維切,huī,1
倡,10,尺良切 尺亮切,chāng chàng,8
倢,10,疾葉切 即涉切 七接切,jié jié qiè,4
倥,10,苦紅切 康董切,kōng kǒng,3
倦,10,渠卷切,juàn,4
倧,10,作冬切,zōng,1
倨,10,居御切,jù,3
倩,10,倉甸切 七政切,qiàn qìng,7
倪,10,五稽切 研計切 倪結切,ní nì niè,8
倫,10,力迍切,lún,9
倬,10,竹角切,zhuō,2
倭,10,於為切 烏禾切 烏果切,wēi wō wǒ,2
倯,10,息恭切,sōng,2
倰,10,魯鄧切 閭承切,lèng líng,4
倱,10,胡本切,hùn,1
倲,10,德紅切 多貢切,dōng dòng,3
倳,10,側吏切,zì,1
倴,10,音奔,bēn bèn,2
倵,10,微補切,wǔ,1
倷,10,,nǎi,1
倻,10,,yē,1
值,10,直吏切,zhí,13
偃,11,於幰切,yǎn,9
偄,11,而兗切,nuò rú,1
偅,11,之用切,zhòng chōng tóng,1
偆,11,尺尹切,chǔn,4
假,11,古疋切 古訝切 亥駕切 何加切 各頟切 牛姦切,jiǎ jià jie xià xiá gé yán,22
偈,11,渠列切 其謁切 去例切 其憩切,jié jié qì jì,5
偉,11,于鬼切,wěi,4
偊,11,王矩切,yǔ,1
偋,11,防正切 必郢切,bìng bǐng,2
偌,10,人夜切,rè ruò,2
偎,11,烏恢切,wēi,4
偏,11,芳連切,piān,19
偑,11,方戎切,fēng,2
偒,11,他朗切 待朗切,tǎng dàng,3
偓,11,於角切,wò,2
偕,11,,xié（旧读jiē）,5
偖,10,昌者反,chě,1
偗,11,所景切,shěng,2
偙,11,都計切,dì,1
做,11,子賀切,zuò,11
偛,11,側洽切,chā,3
停,11,特丁切,tíng,7
偝,11,蒲昧切,bèi,1
偞,11,呼牒切 與涉切 實洽切,xiè yè shà,4
偟,11,胡光切,uáng,2
偠,11,烏皎切,yǎo yǎo yǎo,5
偡,11,徒減切,zhàn,2
偢,11,七肖切 甾尤切,qiào zōu chǒu,2
偣,11,於廉反,yān,1
偤,11,以周切,yóu,1
健,10,巨展切,jiàn jiàn jiàn,26
偦,11,寫與切 新於切,xǔ xū,2
偨,12,叉宜切,cī,1
偩,11,房久切,fù,1
偪,11,彼側切 方六切,bī fù,4
偫,11,直里切,zhì,2
偬,11,作孔切 麤叢切,zǒng cōng,2
偭,11,彌兗切,miǎn,3
偮,11,側立切,jí,1
偯,11,於豈切,ǐ,2
偰,11,先結切,xiè xiè xiè,6
偱,11,須倫切,xún,1
偲,11,倉才切 息兹切 想止切,cāi sī sǐ,2
偳,11,多官切,duān,1
側,11,阻力切,cè zè zhāi,17
偵,11,,zhēn（旧读zhēng）,2
偶,11,五口切,ǒu,13
偷,11,託侯切,ōu,8
偽,11,危睡切 吾禾切 居偽切,wěi wéi é guì,7
傀,11,公回切 口猥切,guī kuài kuǐ,6
傂,12,池爾切 息移切,zhì sī,2
傃,12,桑故切,sù,3
傄,12,呼八切,xiā,1
傅,12,方遇切 芳無切,fù fū,7
傆,12,魚怨切 愚袁切,yuàn yuán,2
傇,11,乳勇切,rǒng,1
傈,12,力質切,lì,2
傉,12,女足切,nù nù nù,5
傊,12,于藴切,yùn,1
傋,12,古項切 居候切,jiǎng gòu,2
傌,12,莫駕切,mà mǎ,3
傍,12,蒲浪切 步光切 晡横切 蒲庚切,bàng páng bēng péng,6
傏,12,徒郎切,táng,1
傐,12,乎老切,hào,1
傑,12,居謁切,jié jié jié,6
傒,12,胡雞切 户禮切,xī xì,3
傓,12,式戰切,shàn,1
傔,12,苦念切,qiàn jiān,3
傕,12,克角切 古岳切,què jué,2
傖,12,,cāng（旧读chéng） chen,3
傗,12,丑六切,chù,1
傘,12,蘇旱切,sǎn,3
備,12,平祕切,bèi,19
傚,12,胡教切,xiào,1
傛,12,余隴切 餘封切,yǒng róng,3
傜,12,餘昭切,yáo,4
傝,12,他紺切 吐盍切,tàn tà,3
傞,11,素何切,suō,1
傢,12,,xiàng jiā,1
傣,12,,dǎi,1
傪,13,倉含切 桑感切 七紺切 錯合切 䟽簪切,cān sǎn càn cā sēn,5
傫,13,魯猥切 魯水切,lěi lěi lěi,3
催,13,倉回切,cuī,1
傭,13,丑凶切,chōng yōng（旧读yóng）,4
傮,13,作曹切 財勞切,zāo cáo,1
傰,13,悲朋切 蒲登切,bēng péng,2
傱,13,息拱切 雙講切,sǒng shuǎng,2
傲,12,五到切 牛刀切,ào áo,3
傳,13,直戀切 直攣切,zhuàn chuán,21
傴,13,於武切,yǔ,2
債,13,側賣切,zhài,3
傶,13,將毒切 倉歷切,zú qī,4
傷,13,式羊切,shāng,13
傸,13,初丈切,chuǎng,1
傹,13,渠映切,jìng,0
傺,13,丑例切,chì,1
傻,13,沙瓦切,shǎ,4
傼,13,虚旰切,hàn,1
傽,13,諸良切,zhāng,1
傾,13,去營切 犬潁切,qīng qǐng,13
傿,13,於建切 於虔切 於靳切,yàn yān yìn,3
僀,13,都計切,dì,1
僁,13,先結切 蘇骨切,xiè sù,3
僂,13,落侯切 力主切 力九切,lóu lǚ liǔ,4
僄,13,匹妙切 卑遥切,piào biāo,3
僅,13,渠遴切,jǐn jìn,5
僆,12,郎甸切 力展切 陵延切,liàn liǎn lián,3
僇,13,力竹切 憐蕭切,lù liáo,2
僈,13,謨官切 莫晏切,mán màn,2
僉,13,七廉切,qiān,5
僊,14,相然切,xiān,0
僋,13,他紺切 郎紺切 他感切,tàn làn tǎn,3
僌,13,余陵切,yíng,1
僎,14,士免切 將倫切,zhuàn zūn,4
像,13,徐兩切,xiàng,7
僐,14,常演切,shàn,1
僑,14,巨嬌切 舉夭切,qiáo jiǎo,6
僒,14,渠殞切,jiǒng,1
僓,14,吐猥切 徒回切,tuǐ tuí,4
僔,14,茲損切 徂丸切,zǔn cuán,4
僕,14,蒲木切 普木切 博木切,pú pū bú,9
僖,14,許其切,xī,2
僗,14,郎刀切 郎到切,láo lào,2
僙,13,古黄切,guāng,1
僚,14,朗鳥切 落蕭切 魯晧切,liǎo liáo lǎo,7
僛,14,去其切,qī,1
僜,14,丑升切 徒亘切 都騰切 徒登切,chēng dèng dēng téng,4
僝,14,士戀切 士山切,zhuàn chán,5
僟,14,居依切,jī,1
僢,14,尺尹切 尺尹切,chuǎn chǔn,1
僣,14,他結切 子念反,tiě jiàn,1
僤,14,徒旱切 市連切 齒善切 上演切 當割切,dàn chán chǎn shàn dá,6
僥,14,五聊切 吉了切 堅堯切,yáo jiǎo jiāo,2
僦,14,即就切,jiù,2
僧,14,蘇增切 慈陵切,sēng céng,3
僨,14,方問切,fèn,4
僩,14,下赧切,xiàn,1
僪,14,其述切 允律切,jú yù,3
僬,14,即消切 子肖切 子小切,jiāo jiào jiǎo,4
僭,14,子念切 側禁切,jiàn zèn,4
僮,14,徒紅切 丑用切,tóng zhuàng chòng,6
僯,14,良刃切 良忍切,lìn lǐn,1
僰,14,蒲北切,bó,5
僳,14,,sù,1
僵,15,居良切,jiāng,4
僶,15,武盡切,mǐn,2
僷,14,弋涉切,yè,2
僸,15,居蔭切,jìn,2
價,15,古訝切 口下切,jià qiǎ jie,5
僺,15,七肖切,qiào,1
僻,15,芳辟切,pì,7
僽,15,鋤祐切 甾尤切,zhòu zhōu,2
僾,15,烏代切,ài,2
僿,15,式吏切,sài,4
儀,15,魚羈切,yí,20
儂,15,奴冬切,nóng,3
儃,15,市連切 時戰切 儻旱切 徒案切 旨善切,chán shàn tǎn dàn zhǎn,5
億,15,於力切 乙力切,yì yī,3
儅,15,都郎切 丁浪切 他朗反,dāng dàng tǎng,5
儆,14,居影切,jǐng,3
儇,15,許緣切 旬宣切,xuān xuán,7
儈,15,古外切,kuài,3
儉,15,巨險切,jiǎn,6
儊,15,瘡據切,chù,1
儋,15,都甘切 都濫切 時豔切,dān dàn shàn,4
儌,15,古了切 古堯切,jiǎo jiāo,2
儎,15,,zài,2
儐,16,必鄰切,bīn（又读bìn） bīn（又读bìn） bīn（又读bìn）,10
儑,16,吾含切 五紺切,án àn,4
儒,16,人朱切,rú,7
儓,16,徒哀切 他代切,tái tài,5
儔,16,徒到切 直由切,dào chóu,6
儕,16,士皆切,chái,4
儖,16,魯甘切,lán,1
儗,16,魚紀切 魚其切 魚記切 五溉切,nǐ yí yì ài,6
儘,16,子忍切,jǐn,3
儙,15,去戰切,qiàn,1
儚,15,謨中切,méng,1
儜,16,女耕切,níng,2
儝,16,渠營反,qióng,1
償,17,市羊切,cháng,7
儠,17,良涉切 力盍切,liè là,2
儡,17,魯回切 倫追切 落猥切 盧對切,léi léi lěi lèi,8
儢,17,力舉切,lǚ,2
儤,17,布耗切,bào,1
儥,17,余六切 徒谷切 徒谷切,yù dí dú,4
儦,17,甫嬌切,biāo,2
儩,17,斯義切,sì,1
優,17,烏侯切,yōu yōu yōu,27
儭,18,初覲切 七遴切 雌人切,chèn qìn qīn,5
儯,18,徒登切,téng,1
儰,17,韋委切,wěi,1
儱,18,力董切 良用切 盧東切,lǒng lòng lóng,3
儲,17,,chǔ（旧读chú）,4
儳,19,士咸切 仕陷切,chán chàn,5
儴,19,汝陽切,ráng xiāng,2
儶,20,胡桂切 玄圭切,huì xié,2
儷,21,郎計切 鄰知切,lì lí,4
儸,21,魯何切,luó,1
儹,21,作管切,zǎn,3
儺,21,諾何切,nuó,3
儻,22,他朗切 他浪切 齒兩切 恥孟切,tǎng tàng chǎng chèng,9
儼,21,魚埯切,yǎn,5
儽,23,魯猥切 魯果切,lěi luǒ,3
儾,24,奴浪切,nàng,2
𠆣,3,竹瓦切,guǎ zhuǎ,0
𠆧,4,音徒,tú,0
𠆩,5,孚梵切,fàn,1
𠆵,6,五稽切,ní,1
𠆶,6,徒感切,dàn,1
𠇋,6,東敢切,dǎn,1
𠇗,7,苦瓜切,kuā,2
𠇘,7,初六切,chù,1
𠇱,7,莫撥切,mò,2
𠈅,8,尸周切,shōu,1
𠈊,8,奴也切,niě,1
𠈥,8,古瓦切,guǎ,1
𠈬,8,許驕切,xiāo,1
𠈭,9,郎刀切,láo,1
𠈰,9,徒旱反,dàn,1
𠈱,9,素何切,suō,1
𠈵,9,武項切,mǎng,1
𠈶,9,逆及切,yí,2
𠈸,9,他得切,tè,1
𠈺,9,傍禮切,bì,1
𠉢,9,息里切,xǐ,1
𠉣,10,呼昆切 呼困切,hūn hùn,3
𠉤,10,徒合切,dá,1
𠉧,10,遵遇切,jù,1
𠉬,10,五敢切 魚檢切,ǎn yǎn,2
𠊉,10,,mèi,1
𠊎,10,,ái,1
𠊔,10,乞及切,qì,1
𠊣,10,鋤又反,zhòu,1
𠊤,10,音雉,zhì,1
𠊥,10,音種,zhǒng,1
𠊦,10,音惱,nǎo,1
𠊧,11,蒲幸切,bìng,3
𠊩,11,士限切,zhàn,2
𠊫,11,徐閏切 渠營切,xùn qióng,1
𠊬,11,其虐切,jué,3
𠊭,11,口減切,qiǎn,1
𠊰,11,古瓦切,guǎ,1
𠊲,11,陁骨反,tū,1
𠊶,11,以證切,yìng,1
𠊷,11,直利切,zhì,1
𠊾,11,渠追切,kuí,1
𠋖,11,郎甸切,liàn,1
𠋗,11,於加切,yā,0
𠋜,11,,guò,1
𠋞,11,音虵,shé,0
𠋡,11,音寺,sì,1
𠋢,11,蘇后切 側救切,sǒu zhòu,0
𠋤,11,音窒,zhì,1
𠋧,11,丘伽切,qiē,1
𠋬,11,古闃切,jú,1
𠋯,12,竝密切,bì,1
𠋲,12,色窄切,suǒ,1
𠋵,12,去偃切,qiǎn,1
𠋶,12,母迥切,mǐng,1
𠋷,12,丑展切,chǎn,1
𠋺,12,蘇遭切,sāo,2
𠋻,12,節力切,jī,1
𠌕,12,音共,gòng,1
𠌖,12,渠容切,qióng,1
𠌚,12,音弄,nòng,0
𠌠,12,于潮切,yáo,1
𠌭,13,所律切,shuài,1
𠌮,13,正奢切,zhē,1
𠌯,13,郎計切,lì lí,1
𠌰,13,古代切,gài,2
𠌱,13,息維切,suī,1
𠌲,13,側嚴切,zhān,1
𠌴,13,陟降切,zhuàng,1
𠌽,13,,fù,1
𠍚,13,音蹇,jiǎn,0
𠍛,13,音偃,yǎn,0
𠍜,13,職吏切,zhì,1
𠍨,13,密彼切,měi,1
𠍩,13,倪弔切,yào,1
𠍪,13,都奚反,dī,1
𠍫,13,音移,yí,1
𠍳,14,伊昔切,ì,0
𠍵,14,弋亮切,yàng,1
𠍹,14,竹洽切,zhá,1
𠎙,14,郎才切,lái,2
𠎮,14,居月切,jué,1
𠎳,14,羊諸切,yú,0
𠎷,15,私盍切,sà,1
𠎸,15,殺測切,sè,1
𠎿,15,舉蟹切,jiě,1
𠏀,15,苦禾切,kē,1
𠏃,15,於靴切,yuē,1
𠏇,15,古典反,jiǎn,1
𠏕,15,,xiào,1
𠏖,15,牽幺切,qiāo,1
𠏡,15,,xiān líng,0
𠏢,15,魯過切,luò,1
𠏤,15,俱往切,guǎng,1
𠏨,16,初講切,chuǎng,1
𠏩,16,魚其切,yí,1
𠏫,16,張梗切,zhěng,1
𠏭,16,徂送切,zòng,1
𠏮,16,都隊切,duì,1
𠏰,16,都買切,zhǎi,2
𠏿,16,,fěi,1
𠐀,16,弋支切,yí,1
𠐈,17,卑眠切 蒲眠切,biān pián,3
𠐋,17,力嘲切,liáo,1
𠐌,17,甫委切,bǐ,1
𠐍,17,蘇谷切,sù,1
𠐑,17,丁計切,dì,2
𠐡,17,布妹反,bèi,1
𠐧,18,彌登切,méng,1
𠐩,18,丑減切,chǎn,1
𠐺,18,皮賓切,pín,1
𠐻,19,九輦切,jiǎn,1
𠐼,19,良鴆切,lìn,1
𠐽,19,居胃切 居韋切,guì guī,2
𠐾,19,去其切,qī,0
𠐿,19,呼肱切,hōng,2
𠑃,19,音佶,jí,1
𠑄,19,悉協切,xiè,1
𠑅,19,中莖切,zhēng,1
𠑆,19,丑犯切,chǎn,1
𠑑,20,丑減切,chǎn,2
𠑘,21,都年切,diān,1
𠑙,21,丑用切,chòng,1
𠑚,21,奴回切,néi,1
𠑛,21,泥堆切,néi,1
𠑞,20,牀債切,zhài,1
𠑟,21,布玄切 蒲眠切,biān pián,3
𠑡,21,,chǎn,1
𠑪,23,許驕切,xiāo,1
𠑰,24,音欣,xīn,1
𠑲,26,青天切,jiǎn qiān,0
